id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,33,10,3,5,31,20,11,18,23,0,5
2,Bournemouth,16,4,4,10,15,24,-9,18,30,1,16
3,Brighton,18,4,6,8,14,23,-9,18,26,0,13
4,Burnley,32,9,5,4,16,12,4,18,29,0,6
5,Chelsea,38,12,2,4,32,14,18,18,23,3,3
6,Crystal Palace,17,4,5,9,15,28,-13,18,35,0,14
7,Everton,25,7,4,7,24,30,-6,18,32,2,9
8,Huddersfield,21,6,3,9,16,30,-14,18,28,3,11
9,Leicester,26,7,5,6,27,26,1,18,18,1,8
10,Liverpool,34,9,7,2,38,20,18,18,23,1,4
11,Man City,52,17,1,0,56,12,44,18,31,2,1
12,Man Utd,41,13,2,3,39,12,27,18,32,1,2
13,Newcastle,15,4,3,11,16,27,-11,18,29,2,18
14,Southampton,18,4,6,8,17,24,-7,18,19,0,12
15,Stoke City,16,4,4,10,19,39,-20,18,18,0,17
16,Swansea,12,3,3,12,10,25,-15,18,26,0,20
17,Spurs,31,9,4,5,31,18,13,18,23,2,7
18,Watford,22,6,4,8,27,33,-6,18,30,4,10
19,West Brom,14,2,8,8,13,24,-11,18,39,1,19
20,West Ham,17,4,5,9,17,32,-15,18,39,2,15
