id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,30,9,3,5,30,20,10,17,21,0,7
2,Bournemouth,16,4,4,9,15,20,-5,17,29,1,14
3,Brighton,17,4,5,8,14,23,-9,17,22,0,13
4,Burnley,31,9,4,4,16,12,4,17,27,0,6
5,Chelsea,35,11,2,4,31,14,17,17,22,3,3
6,Crystal Palace,14,3,5,9,12,28,-16,17,33,0,18
7,Everton,22,6,4,7,21,29,-8,17,30,2,10
8,Huddersfield,18,5,3,9,12,29,-17,17,27,2,12
9,Leicester,26,7,5,5,27,23,4,17,16,0,8
10,Liverpool,31,8,7,2,34,20,14,17,22,1,5
11,Man City,49,16,1,0,52,11,41,17,29,2,1
12,Man Utd,38,12,2,3,37,11,26,17,29,1,2
13,Newcastle,15,4,3,10,16,26,-10,17,28,2,16
14,Southampton,18,4,6,7,17,23,-6,17,16,0,11
15,Stoke City,16,4,4,9,19,36,-17,17,16,0,15
16,Swansea,12,3,3,11,9,22,-13,17,23,0,20
17,Spurs,31,9,4,4,30,14,16,17,19,2,4
18,Watford,22,6,4,7,26,29,-3,17,28,3,9
19,West Brom,14,2,8,7,12,22,-10,17,38,1,17
20,West Ham,14,3,5,9,14,32,-18,17,38,2,19
