id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,39,11,6,6,41,30,11,23,34,0,6
2,Bournemouth,24,6,6,11,24,35,-11,23,37,1,13
3,Brighton,23,5,8,10,17,29,-12,23,31,0,16
4,Burnley,34,9,7,7,19,20,-1,23,41,0,7
5,Chelsea,47,14,5,4,41,16,25,23,28,3,4
6,Crystal Palace,25,6,7,10,21,33,-12,23,45,0,12
7,Everton,27,7,6,10,25,38,-13,23,39,2,9
8,Huddersfield,24,6,6,11,19,39,-20,23,35,3,14
9,Leicester,31,8,7,8,34,32,2,23,27,3,8
10,Liverpool,47,13,8,2,54,28,26,23,28,1,3
11,Man City,62,20,2,1,67,17,50,23,39,2,1
12,Man Utd,50,15,5,3,48,16,32,23,40,1,2
13,Newcastle,23,6,5,12,21,31,-10,23,34,2,15
14,Southampton,21,4,9,10,23,34,-11,23,32,0,17
15,Stoke City,20,5,5,13,23,50,-27,23,28,0,18
16,Swansea,17,4,5,14,14,35,-21,23,37,0,20
17,Spurs,44,13,5,5,46,21,25,23,27,2,5
18,Watford,26,7,5,11,33,42,-9,23,38,4,10
19,West Brom,19,3,10,10,18,30,-12,23,46,1,19
20,West Ham,25,6,7,10,29,41,-12,23,50,2,11
