id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,42,12,6,7,46,34,12,25,37,0,6
2,Bournemouth,28,7,7,11,28,36,-8,25,38,1,10
3,Brighton,24,5,9,11,18,34,-16,25,35,0,15
4,Burnley,35,9,8,8,20,22,-2,25,46,0,7
5,Chelsea,50,15,5,5,45,19,26,25,29,3,4
6,Crystal Palace,26,6,8,11,23,38,-15,25,48,0,13
7,Everton,31,8,7,10,28,40,-12,25,41,2,9
8,Huddersfield,24,6,6,13,19,44,-25,25,36,3,17
9,Leicester,34,9,7,9,37,34,3,25,29,3,8
10,Liverpool,50,14,8,3,57,29,28,25,30,1,3
11,Man City,68,22,2,1,73,18,55,25,40,2,1
12,Man Utd,53,16,5,4,49,18,31,25,45,1,2
13,Newcastle,24,6,6,13,23,35,-12,25,36,2,14
14,Southampton,23,4,11,10,25,36,-11,25,37,0,18
15,Stoke City,24,6,6,13,25,50,-25,25,33,0,16
16,Swansea,23,6,5,14,18,36,-18,25,37,0,19
17,Spurs,48,14,6,5,49,22,27,25,32,2,5
18,Watford,27,7,6,12,33,44,-11,25,41,4,11
19,West Brom,20,3,11,11,19,34,-15,25,50,1,20
20,West Ham,27,6,9,10,31,43,-12,25,54,2,12
