id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,3,1,0,0,4,3,1,1,0,0,5
2,Bournemouth,0,0,0,1,0,1,-1,1,1,0,15
3,Brighton,0,0,0,1,0,2,-2,1,0,0,17
4,Burnley,3,1,0,0,3,2,1,1,3,0,6
5,Chelsea,0,0,0,1,2,3,-1,1,4,2,14
6,Crystal Palace,0,0,0,1,0,3,-3,1,1,0,19
7,Everton,3,1,0,0,1,0,1,1,1,0,7
8,Huddersfield,3,1,0,0,3,0,3,1,2,0,2
9,Leicester,0,0,0,1,3,4,-1,1,1,0,13
10,Liverpool,1,0,1,0,3,3,0,1,3,0,9
11,Man City,3,1,0,0,2,0,2,1,2,0,3
12,Man Utd,3,1,0,0,4,0,4,1,2,0,1
13,Newcastle,0,0,0,1,0,2,-2,1,1,1,18
14,Southampton,1,0,1,0,0,0,0,1,2,0,11
15,Stoke City,0,0,0,1,0,1,-1,1,1,0,16
16,Swansea,1,0,1,0,0,0,0,1,1,0,12
17,Spurs,3,1,0,0,2,0,2,1,2,0,4
18,Watford,1,0,1,0,3,3,0,1,0,0,10
19,West Brom,3,1,0,0,1,0,1,1,3,0,8
20,West Ham,0,0,0,1,0,4,-4,1,2,0,20
