id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,54,16,6,11,62,45,17,33,49,1,6
2,Bournemouth,38,9,11,15,41,58,-17,35,53,1,11
3,Brighton,36,8,12,14,32,47,-15,34,49,2,13
4,Burnley,52,14,10,10,34,31,3,34,63,0,7
5,Chelsea,63,19,6,9,59,34,25,34,38,4,5
6,Crystal Palace,34,8,10,16,36,54,-18,34,62,0,16
7,Everton,42,11,9,14,39,54,-15,34,46,3,9
8,Huddersfield,35,9,8,17,27,54,-27,34,53,3,15
9,Leicester,44,11,11,12,49,47,2,34,45,4,8
10,Liverpool,70,20,10,4,78,35,43,34,40,1,3
11,Man City,87,28,3,2,93,25,68,33,56,2,1
12,Man Utd,74,23,5,6,65,26,39,34,61,1,2
13,Newcastle,41,11,8,14,35,42,-7,33,46,2,10
14,Southampton,29,5,14,15,33,53,-20,34,50,1,18
15,Stoke City,28,6,10,18,31,64,-33,34,51,1,19
16,Swansea,33,8,9,16,27,46,-19,33,45,1,17
17,Spurs,68,20,8,6,66,31,35,34,45,2,4
18,Watford,37,10,7,17,42,60,-18,34,58,4,12
19,West Brom,24,4,12,18,27,52,-25,34,63,1,20
20,West Ham,35,8,11,14,41,59,-18,33,66,2,14
