id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,57,17,6,11,66,46,20,34,52,1,6
2,Bournemouth,38,9,11,15,41,58,-17,35,53,1,11
3,Brighton,36,8,12,14,32,47,-15,34,49,2,13
4,Burnley,53,14,11,10,35,32,3,35,64,0,7
5,Chelsea,63,19,6,9,59,34,25,34,38,4,5
6,Crystal Palace,35,8,11,16,36,54,-18,35,67,0,14
7,Everton,45,12,9,14,40,54,-14,35,48,3,8
8,Huddersfield,35,9,8,17,27,54,-27,34,53,3,16
9,Leicester,44,11,11,12,49,47,2,34,45,4,9
10,Liverpool,71,20,11,4,80,37,43,35,41,1,3
11,Man City,90,29,3,2,98,25,73,34,56,2,1
12,Man Utd,74,23,5,6,65,26,39,34,61,1,2
13,Newcastle,41,11,8,15,35,43,-8,34,47,2,10
14,Southampton,29,5,14,15,33,53,-20,34,50,1,18
15,Stoke City,29,6,11,18,32,65,-33,35,53,1,19
16,Swansea,33,8,9,17,27,51,-24,34,46,1,17
17,Spurs,68,20,8,6,66,31,35,34,45,2,4
18,Watford,38,10,8,17,42,60,-18,35,61,4,12
19,West Brom,25,4,13,18,29,54,-25,35,63,1,20
20,West Ham,35,8,11,15,42,63,-21,34,68,2,15
