id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,45,13,6,7,51,35,16,26,39,0,6
2,Bournemouth,31,8,7,11,30,37,-7,26,40,1,9
3,Brighton,27,6,9,11,21,35,-14,26,38,0,13
4,Burnley,36,9,9,8,21,23,-2,26,50,0,7
5,Chelsea,50,15,5,6,46,23,23,26,31,4,4
6,Crystal Palace,27,6,9,11,24,39,-15,26,49,0,14
7,Everton,31,8,7,11,29,45,-16,26,41,2,10
8,Huddersfield,24,6,6,14,19,46,-27,26,40,3,19
9,Leicester,35,9,8,9,38,35,3,26,30,3,8
10,Liverpool,51,14,9,3,59,31,28,26,33,1,3
11,Man City,69,22,3,1,74,19,55,26,41,2,1
12,Man Utd,56,17,5,4,51,18,33,26,47,1,2
13,Newcastle,25,6,7,13,24,36,-12,26,37,2,16
14,Southampton,26,5,11,10,28,38,-10,26,38,0,15
15,Stoke City,24,6,6,14,26,52,-26,26,36,0,18
16,Swansea,24,6,6,14,19,37,-18,26,37,0,17
17,Spurs,49,14,7,5,51,24,27,26,33,2,5
18,Watford,30,8,6,12,37,45,-8,26,43,4,11
19,West Brom,20,3,11,12,21,37,-16,26,52,1,20
20,West Ham,27,6,9,11,32,46,-14,26,55,2,12
