id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,3,1,0,1,4,4,0,2,0,0,11
2,Bournemouth,0,0,0,2,0,3,-3,2,2,0,16
3,Brighton,0,0,0,2,0,4,-4,2,0,0,18
4,Burnley,3,1,0,1,3,3,0,2,4,0,13
5,Chelsea,3,1,0,1,4,4,0,2,8,2,12
6,Crystal Palace,0,0,0,2,0,4,-4,2,4,0,19
7,Everton,4,1,1,0,2,1,1,2,3,1,8
8,Huddersfield,6,2,0,0,4,0,4,2,4,0,2
9,Leicester,3,1,0,1,5,4,1,2,2,0,9
10,Liverpool,4,1,1,0,4,3,1,2,4,0,6
11,Man City,4,1,1,0,3,1,2,2,3,1,5
12,Man Utd,6,2,0,0,8,0,8,2,3,0,1
13,Newcastle,0,0,0,2,0,3,-3,2,5,1,17
14,Southampton,4,1,1,0,3,2,1,2,3,0,7
15,Stoke City,3,1,0,1,1,1,0,2,1,0,14
16,Swansea,1,0,1,1,0,4,-4,2,2,0,15
17,Spurs,3,1,0,1,3,2,1,2,6,0,10
18,Watford,4,1,1,0,5,3,2,2,3,0,4
19,West Brom,6,2,0,0,2,0,2,2,3,1,3
20,West Ham,0,0,0,2,2,7,-5,2,3,1,20
