team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Brighton,3,2017,21,14,10,6,5,20,0,1,0,0,0,4,5,5,True,Crystal Palace
Crystal Palace,6,2017,5,14,20,3,21,10,0,1,0,0,0,2,3,9,False,Brighton
Leicester,9,2017,8,14,9,17,17,7,1,0,0,2,1,4,5,5,True,Spurs
Spurs,17,2017,17,14,7,9,8,9,0,0,1,1,2,7,3,4,False,Leicester
Watford,18,2017,18,14,8,12,11,2,0,0,1,2,4,6,3,5,True,Man Utd
Man Utd,12,2017,11,14,2,18,18,8,1,0,0,4,2,10,2,2,False,Watford
West Brom,19,2017,19,14,17,13,23,12,0,1,0,2,2,2,6,6,True,Newcastle
Newcastle,13,2017,23,14,12,19,19,17,0,1,0,2,2,4,3,7,False,West Brom
Arsenal,1,2017,1,14,4,8,22,14,1,0,0,5,0,9,1,4,True,Huddersfield
Huddersfield,8,2017,22,14,14,1,1,4,0,0,1,0,5,4,3,7,False,Arsenal
Bournemouth,2,2017,2,14,15,4,3,6,0,0,1,1,2,4,2,8,True,Burnley
Burnley,4,2017,3,14,6,2,2,15,1,0,0,2,1,7,4,3,False,Bournemouth
Chelsea,5,2017,4,14,3,16,16,19,1,0,0,1,0,9,2,3,True,Swansea
Swansea,16,2017,16,14,19,5,4,3,0,0,1,0,1,2,3,9,False,Chelsea
Everton,7,2017,6,14,13,20,20,18,1,0,0,4,0,4,3,7,True,West Ham
West Ham,20,2017,20,14,18,7,6,13,0,0,1,0,4,2,4,8,False,Everton
Man City,11,2017,10,14,1,14,13,11,1,0,0,2,1,13,1,0,True,Southampton
Southampton,14,2017,13,14,11,11,10,1,0,0,1,1,2,4,4,6,False,Man City
Stoke City,15,2017,14,14,16,10,9,5,0,0,1,0,3,3,4,7,True,Liverpool
Liverpool,10,2017,9,14,5,15,14,16,1,0,0,3,0,7,5,2,False,Stoke City
