id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,13,4,1,2,11,8,3,7,8,0,5
2,Bournemouth,4,1,1,5,4,11,-7,7,10,0,19
3,Brighton,7,2,1,4,5,9,-4,7,7,0,14
4,Burnley,12,3,3,1,7,5,2,7,12,0,6
5,Chelsea,13,4,1,2,12,6,6,7,13,3,4
6,Crystal Palace,0,0,0,7,0,17,-17,7,15,0,20
7,Everton,7,2,1,4,4,12,-8,7,14,1,16
8,Huddersfield,9,2,3,2,5,7,-2,7,10,0,11
9,Leicester,5,1,2,4,9,12,-3,7,9,0,17
10,Liverpool,12,3,3,1,13,12,1,7,13,1,7
11,Man City,19,6,1,0,22,2,20,7,14,2,1
12,Man Utd,19,6,1,0,21,2,19,7,9,0,2
13,Newcastle,10,3,1,3,7,6,1,7,14,1,9
14,Southampton,8,2,2,3,5,7,-2,7,8,0,12
15,Stoke City,8,2,2,3,7,11,-4,7,7,0,13
16,Swansea,5,1,2,4,3,8,-5,7,12,0,18
17,Spurs,14,4,2,1,14,5,9,7,11,1,3
18,Watford,12,3,3,1,11,12,-1,7,8,1,8
19,West Brom,9,2,3,2,6,8,-2,7,14,1,10
20,West Ham,7,2,1,4,7,13,-6,7,15,1,15
