fixture,round,team_home,uniqueid_home,team_away,uniqueid_away,team_home_gs,team_home_gc,team_away_gs,team_away_gc,team_home_win,team_home_draw,team_home_loss,team_away_win,team_away_draw,team_away_loss
9,1,12,11,20,20,4,0,0,4,1,0,0,0,0,1
4,1,6,5,8,22,0,3,3,0,0,0,1,1,0,0
1,1,1,1,9,8,4,3,3,4,1,0,0,0,0,1
7,1,18,18,10,9,3,3,3,3,0,1,0,0,1,0
8,1,19,19,2,2,1,0,0,1,1,0,0,0,0,1
5,1,7,6,15,14,1,0,0,1,1,0,0,0,0,1
2,1,3,21,11,10,0,2,2,0,0,0,1,1,0,0
10,1,13,23,17,17,0,2,2,0,0,0,1,1,0,0
6,1,14,13,16,16,0,0,0,0,0,1,0,0,1,0
3,1,5,4,4,3,2,3,3,2,0,0,1,1,0,0
15,2,14,13,20,20,3,2,2,3,1,0,0,0,0,1
18,2,8,22,13,23,1,0,0,1,1,0,0,0,0,1
16,2,15,14,1,1,1,0,0,1,1,0,0,0,0,1
11,2,2,2,18,18,0,2,2,0,0,0,1,1,0,0
14,2,10,9,6,5,1,0,0,1,1,0,0,0,0,1
20,2,11,10,7,6,1,1,1,1,0,1,0,0,1,0
12,2,4,3,19,19,0,1,1,0,0,0,1,1,0,0
13,2,9,8,3,21,2,0,0,2,1,0,0,0,0,1
17,2,16,16,12,11,0,4,4,0,0,0,1,1,0,0
19,2,17,17,5,4,1,2,2,1,0,0,1,1,0,0
26,3,13,23,20,20,3,0,0,3,1,0,0,0,0,1
24,3,8,22,14,13,0,0,0,0,0,1,0,0,1,0
28,3,10,9,1,1,4,0,0,4,1,0,0,0,0,1
27,3,18,18,3,21,0,0,0,0,0,1,0,0,1,0
21,3,2,2,11,10,1,2,2,1,0,0,1,1,0,0
22,3,5,4,7,6,2,0,0,2,1,0,0,0,0,1
30,3,19,19,15,14,1,1,1,1,0,1,0,0,1,0
25,3,12,11,9,8,2,0,0,2,1,0,0,0,0,1
23,3,6,5,16,16,0,2,2,0,0,0,1,1,0,0
29,3,17,17,4,3,1,1,1,1,0,1,0,0,1,0
40,4,20,20,8,22,2,0,0,2,1,0,0,0,0,1
31,4,1,1,2,2,3,0,0,3,1,0,0,0,0,1
36,4,14,13,18,18,0,2,2,0,0,0,1,1,0,0
35,4,11,10,10,9,5,0,0,5,1,0,0,0,0,1
33,4,7,6,17,17,0,3,3,0,0,0,1,1,0,0
32,4,3,21,19,19,3,1,1,3,1,0,0,0,0,1
34,4,9,8,5,4,1,2,2,1,0,0,1,1,0,0
39,4,16,16,13,23,0,1,1,0,0,0,1,1,0,0
37,4,15,14,12,11,2,2,2,2,0,1,0,0,1,0
38,4,4,3,6,5,1,0,0,1,1,0,0,0,0,1
48,5,19,19,20,20,0,0,0,0,0,1,0,0,1,0
43,5,8,22,9,8,1,1,1,1,0,1,0,0,1,0
49,5,5,4,1,1,0,0,0,0,0,1,0,0,1,0
47,5,18,18,11,10,0,6,6,0,0,0,1,1,0,0
41,5,2,2,3,21,2,1,1,2,1,0,0,0,0,1
44,5,10,9,4,3,1,1,1,1,0,1,0,0,1,0
50,5,12,11,7,6,4,0,0,4,1,0,0,0,0,1
45,5,13,23,15,14,2,1,1,2,1,0,0,0,0,1
42,5,6,5,14,13,0,1,1,0,0,0,1,1,0,0
46,5,17,17,16,16,0,0,0,0,0,1,0,0,1,0
58,6,20,20,17,17,2,3,3,2,0,0,1,1,0,0
51,6,4,3,8,22,0,0,0,0,0,1,0,0,1,0
52,6,7,6,2,2,2,1,1,2,1,0,0,0,0,1
60,6,1,1,19,19,2,0,0,2,1,0,0,0,0,1
57,6,16,16,18,18,1,2,2,1,0,0,1,1,0,0
53,6,9,8,10,9,2,3,3,2,0,0,1,1,0,0
54,6,11,10,6,5,5,0,0,5,1,0,0,0,0,1
59,6,3,21,13,23,1,0,0,1,1,0,0,0,0,1
55,6,14,13,12,11,0,1,1,0,0,0,1,1,0,0
56,6,15,14,5,4,0,4,4,0,0,0,1,1,0,0
67,7,20,20,16,16,1,0,0,1,1,0,0,0,0,1
69,7,4,3,7,6,0,1,1,0,0,0,1,1,0,0
63,7,8,22,17,17,0,4,4,0,0,0,1,1,0,0
61,7,2,2,9,8,0,0,0,0,0,1,0,0,1,0
68,7,1,1,3,21,2,0,0,2,1,0,0,0,0,1
66,7,19,19,18,18,2,2,2,2,0,1,0,0,1,0
70,7,13,23,10,9,1,1,1,1,0,1,0,0,1,0
62,7,5,4,11,10,0,1,1,0,0,0,1,1,0,0
65,7,15,14,14,13,2,1,1,2,1,0,0,0,0,1
64,7,12,11,6,5,4,0,0,4,1,0,0,0,0,1
72,8,4,3,20,20,1,1,1,1,0,1,0,0,1,0
78,8,16,16,8,22,2,0,0,2,1,0,0,0,0,1
79,8,17,17,2,2,1,0,0,1,1,0,0,0,0,1
80,8,18,18,1,1,2,1,1,2,1,0,0,0,0,1
75,8,10,9,12,11,0,0,0,0,0,1,0,0,1,0
71,8,3,21,7,6,1,1,1,1,0,1,0,0,1,0
74,8,9,8,19,19,1,1,1,1,0,1,0,0,1,0
76,8,11,10,15,14,7,2,2,7,1,0,0,0,0,1
77,8,14,13,13,23,2,2,2,2,0,1,0,0,1,0
73,8,6,5,5,4,2,1,1,2,1,0,0,0,0,1
90,9,20,20,3,21,0,3,3,0,0,0,1,1,0,0
83,9,8,22,12,11,2,1,1,2,1,0,0,0,0,1
87,9,15,14,2,2,1,2,2,1,0,0,1,1,0,0
82,9,7,6,1,1,2,5,5,2,0,0,1,1,0,0
81,9,5,4,18,18,4,2,2,4,1,0,0,0,0,1
89,9,17,17,10,9,4,1,1,4,1,0,0,0,0,1
84,9,11,10,4,3,3,0,0,3,1,0,0,0,0,1
86,9,14,13,19,19,1,0,0,1,1,0,0,0,0,1
88,9,16,16,9,8,1,2,2,1,0,0,1,1,0,0
85,9,13,23,6,5,1,0,0,1,1,0,0,0,0,1
95,10,6,5,20,20,2,2,2,2,0,1,0,0,1,0
97,10,10,9,8,22,3,0,0,3,1,0,0,0,0,1
92,10,2,2,5,4,0,1,1,0,0,0,1,1,0,0
91,10,1,1,16,16,2,1,1,2,1,0,0,0,0,1
99,10,18,18,15,14,0,1,1,0,0,0,1,1,0,0
94,10,4,3,13,23,1,0,0,1,1,0,0,0,0,1
96,10,9,8,7,6,2,0,0,2,1,0,0,0,0,1
100,10,19,19,11,10,2,3,3,2,0,0,1,1,0,0
