id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,40,12,4,3,41,19,22,19,30,1,3
2,Bournemouth,24,7,3,9,26,31,-5,19,30,1,10
3,Burnley,23,7,2,10,21,29,-8,19,34,0,11
4,Chelsea,49,16,1,2,42,13,29,19,42,0,1
5,Crystal Palace,16,4,4,11,29,35,-6,19,43,0,17
6,Everton,27,7,6,6,25,23,2,19,37,1,7
7,Hull City,13,3,4,12,16,41,-25,19,25,1,19
8,Leicester,20,5,5,9,24,31,-7,19,43,1,15
9,Liverpool,43,13,4,2,46,21,25,19,27,0,2
10,Man City,39,12,3,4,39,21,18,19,36,3,5
11,Man Utd,36,10,6,3,29,19,10,19,44,1,6
12,Middlesbrough,18,4,6,9,17,22,-5,19,43,0,16
13,Southampton,24,6,6,7,19,22,-3,19,31,2,9
14,Stoke City,21,5,6,8,22,32,-10,19,36,1,14
15,Sunderland,14,4,2,13,17,35,-18,19,42,3,18
16,Swansea,12,3,3,13,21,44,-23,19,28,0,20
17,Spurs,39,11,6,2,37,14,23,19,35,0,4
18,Watford,22,6,4,9,23,34,-11,19,44,3,13
19,West Brom,26,7,5,7,25,23,2,19,46,1,8
20,West Ham,22,6,4,9,23,33,-10,19,45,2,12
