id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,47,14,5,5,52,28,24,24,38,2,4
2,Bournemouth,26,7,5,12,35,47,-12,24,36,2,14
3,Burnley,29,9,2,13,26,35,-9,24,42,1,12
4,Chelsea,59,19,2,3,51,17,34,24,47,0,1
5,Crystal Palace,19,5,4,15,32,45,-13,24,55,0,19
6,Everton,40,11,7,6,40,27,13,24,43,1,7
7,Hull City,20,5,5,14,22,47,-25,24,34,1,18
8,Leicester,21,5,6,13,24,41,-17,24,47,1,16
9,Liverpool,46,13,7,4,52,30,22,24,37,0,5
10,Man City,49,15,4,5,49,29,20,24,49,4,3
11,Man Utd,45,12,9,3,36,21,15,24,52,1,6
12,Middlesbrough,21,4,9,11,19,27,-8,24,52,0,15
13,Southampton,27,7,6,11,24,31,-7,24,34,2,13
14,Stoke City,29,7,8,9,29,36,-7,24,45,1,11
15,Sunderland,19,5,4,15,24,42,-18,24,52,3,20
16,Swansea,21,6,3,15,29,54,-25,24,37,0,17
17,Spurs,50,14,8,2,46,16,30,24,42,0,2
18,Watford,30,8,6,10,29,40,-11,24,59,3,10
19,West Brom,36,10,6,8,32,29,3,24,52,1,8
20,West Ham,31,9,4,11,32,41,-9,24,57,3,9
