id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,28,8,4,1,28,13,15,13,20,1,4
2,Bournemouth,15,4,3,6,15,19,-4,13,25,1,12
3,Burnley,14,4,2,7,12,21,-9,13,19,0,13
4,Chelsea,31,10,1,2,29,10,19,13,28,0,1
5,Crystal Palace,11,3,2,8,21,26,-5,13,26,0,17
6,Everton,19,5,4,4,16,15,1,13,27,0,7
7,Hull City,11,3,2,8,11,28,-17,13,16,1,18
8,Leicester,13,3,4,6,16,22,-6,13,22,0,14
9,Liverpool,30,9,3,1,32,14,18,13,20,0,2
10,Man City,30,9,3,1,29,12,17,13,27,1,3
11,Man Utd,20,5,5,3,18,15,3,13,30,1,6
12,Middlesbrough,12,2,6,5,12,15,-3,13,30,0,15
13,Southampton,17,4,5,4,13,12,1,13,20,0,10
14,Stoke City,16,4,4,5,14,19,-5,13,27,0,11
15,Sunderland,8,2,2,9,12,23,-11,13,31,3,20
16,Swansea,9,2,3,8,16,26,-10,13,21,0,19
17,Spurs,24,6,6,1,19,10,9,13,27,0,5
18,Watford,18,5,3,5,17,21,-4,13,33,2,8
19,West Brom,17,4,5,4,17,16,1,13,31,1,9
20,West Ham,12,3,3,7,14,24,-10,13,35,2,16
