id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,34,10,4,2,37,17,20,16,24,1,3
2,Bournemouth,21,6,3,7,22,25,-3,16,29,1,10
3,Burnley,17,5,2,9,15,26,-11,16,25,0,13
4,Chelsea,40,13,1,2,34,11,23,16,35,0,1
5,Crystal Palace,15,4,3,9,28,31,-3,16,36,0,16
6,Everton,23,6,5,5,21,20,1,16,32,1,8
7,Hull City,12,3,3,10,14,35,-21,16,19,1,19
8,Leicester,16,4,4,8,21,27,-6,16,29,0,14
9,Liverpool,34,10,4,2,40,20,20,16,24,0,2
10,Man City,33,10,3,3,34,19,15,16,31,3,4
11,Man Utd,27,7,6,3,22,17,5,16,39,1,6
12,Middlesbrough,15,3,6,7,13,19,-6,16,36,0,17
13,Southampton,21,5,6,5,14,15,-1,16,26,0,9
14,Stoke City,20,5,5,6,17,22,-5,16,31,1,12
15,Sunderland,11,3,2,11,14,28,-14,16,38,3,20
16,Swansea,12,3,3,10,20,34,-14,16,26,0,18
17,Spurs,30,8,6,2,27,11,16,16,30,0,5
18,Watford,21,6,3,7,21,28,-7,16,37,3,11
19,West Brom,23,6,5,5,23,19,4,16,38,1,7
20,West Ham,16,4,4,8,18,31,-13,16,40,2,15
