id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,50,15,5,6,55,31,24,26,43,2,5
2,Bournemouth,27,7,6,14,37,52,-15,27,40,3,14
3,Burnley,31,9,4,14,30,40,-10,27,48,2,12
4,Chelsea,66,21,3,3,57,20,37,27,51,0,1
5,Crystal Palace,25,7,4,16,35,46,-11,27,62,0,17
6,Everton,44,12,8,7,44,30,14,27,45,1,7
7,Hull City,21,5,6,16,24,53,-29,27,37,2,19
8,Leicester,27,7,6,14,30,45,-15,27,50,1,15
9,Liverpool,52,15,7,5,58,34,24,27,41,0,4
10,Man City,56,17,5,5,53,29,24,27,53,4,3
11,Man Utd,49,13,10,3,39,22,17,26,56,1,6
12,Middlesbrough,22,4,10,13,19,30,-11,27,57,0,18
13,Southampton,33,9,6,11,32,34,-2,26,36,2,10
14,Stoke City,36,9,9,10,32,40,-8,28,53,1,9
15,Sunderland,19,5,4,18,24,50,-26,27,56,3,20
16,Swansea,27,8,3,16,35,59,-24,27,44,0,16
17,Spurs,56,16,8,3,53,20,33,27,50,0,2
18,Watford,31,8,7,12,33,47,-14,27,66,3,13
19,West Brom,40,11,7,9,36,34,2,27,56,1,8
20,West Ham,33,9,6,12,36,46,-10,27,61,4,11
