id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,37,11,4,3,39,19,20,18,29,1,4
2,Bournemouth,21,6,3,9,23,31,-8,18,30,1,12
3,Burnley,20,6,2,10,17,28,-11,18,33,0,14
4,Chelsea,46,15,1,2,38,11,27,18,39,0,1
5,Crystal Palace,16,4,4,10,29,33,-4,18,42,0,17
6,Everton,26,7,5,6,23,21,2,18,35,1,7
7,Hull City,12,3,3,12,14,39,-25,18,23,1,20
8,Leicester,17,4,5,9,23,31,-8,18,38,1,16
9,Liverpool,40,12,4,2,45,21,24,18,25,0,2
10,Man City,39,12,3,3,39,20,19,18,35,3,3
11,Man Utd,33,9,6,3,27,18,9,18,43,1,6
12,Middlesbrough,18,4,6,8,16,20,-4,18,42,0,15
13,Southampton,24,6,6,6,18,20,-2,18,30,1,8
14,Stoke City,21,5,6,7,20,28,-8,18,34,1,13
15,Sunderland,14,4,2,12,16,31,-15,18,41,3,18
16,Swansea,12,3,3,12,21,41,-20,18,26,0,19
17,Spurs,36,10,6,2,33,13,20,18,35,0,5
18,Watford,22,6,4,8,22,30,-8,18,41,3,10
19,West Brom,23,6,5,7,23,22,1,18,43,1,9
20,West Ham,22,6,4,8,23,32,-9,18,42,2,11
