id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,66,20,6,9,68,42,26,35,59,2,5
2,Bournemouth,42,11,9,16,52,65,-13,36,52,3,11
3,Burnley,40,11,7,18,37,51,-14,36,62,2,14
4,Chelsea,84,27,3,5,75,29,46,35,69,0,1
5,Crystal Palace,38,11,5,20,46,61,-15,36,75,0,16
6,Everton,58,16,10,10,60,41,19,36,65,2,7
7,Hull City,34,9,7,20,36,69,-33,36,57,4,18
8,Leicester,43,12,7,16,45,54,-9,35,62,1,9
9,Liverpool,70,20,10,6,71,42,29,36,54,0,3
10,Man City,69,20,9,6,70,37,33,35,67,4,4
11,Man Utd,65,17,14,4,51,27,24,35,72,2,6
12,Middlesbrough,28,5,13,18,26,48,-22,36,75,1,19
13,Southampton,42,11,9,15,39,46,-7,35,53,2,10
14,Stoke City,41,10,11,15,39,52,-13,36,66,2,13
15,Sunderland,24,6,6,23,28,60,-32,35,72,4,20
16,Swansea,35,10,5,21,41,69,-28,36,55,0,17
17,Spurs,77,23,8,4,71,23,48,35,60,0,2
18,Watford,40,11,7,17,37,58,-21,35,75,4,15
19,West Brom,45,12,9,14,41,45,-4,35,76,1,8
20,West Ham,42,11,9,16,45,59,-14,36,78,5,12
