id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,31,9,4,1,33,14,19,14,23,1,2
2,Bournemouth,18,5,3,6,19,22,-3,14,27,1,10
3,Burnley,14,4,2,8,12,23,-11,14,21,0,15
4,Chelsea,34,11,1,2,32,11,21,14,31,0,1
5,Crystal Palace,14,4,2,8,24,26,-2,14,30,0,14
6,Everton,20,5,5,4,17,16,1,14,29,0,8
7,Hull City,11,3,2,9,11,29,-18,14,16,1,19
8,Leicester,13,3,4,7,17,24,-7,14,23,0,16
9,Liverpool,30,9,3,2,35,18,17,14,22,0,3
10,Man City,30,9,3,2,30,15,15,14,29,3,4
11,Man Utd,21,5,6,3,19,16,3,14,33,1,6
12,Middlesbrough,15,3,6,5,13,15,-2,14,31,0,13
13,Southampton,17,4,5,5,13,15,-2,14,21,0,12
14,Stoke City,19,5,4,5,16,19,-3,14,30,0,9
15,Sunderland,11,3,2,9,14,24,-10,14,33,3,18
16,Swansea,9,2,3,9,16,31,-15,14,25,0,20
17,Spurs,27,7,6,1,24,10,14,14,27,0,5
18,Watford,18,5,3,6,18,24,-6,14,34,3,11
19,West Brom,20,5,5,4,20,17,3,14,34,1,7
20,West Ham,12,3,3,8,15,29,-14,14,38,2,17
