id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,24,7,3,1,24,11,13,11,14,1,4
2,Bournemouth,12,3,3,5,13,16,-3,11,17,1,13
3,Burnley,14,4,2,5,11,15,-4,11,17,0,9
4,Chelsea,25,8,1,2,26,9,17,11,23,0,2
5,Crystal Palace,11,3,2,6,16,19,-3,11,20,0,16
6,Everton,18,5,3,3,15,13,2,11,20,0,7
7,Hull City,10,3,1,7,10,24,-14,11,13,1,18
8,Leicester,12,3,3,5,13,18,-5,11,15,0,14
9,Liverpool,26,8,2,1,30,14,16,11,18,0,1
10,Man City,24,7,3,1,25,10,15,11,22,1,3
11,Man Utd,18,5,3,3,16,13,3,11,24,1,6
12,Middlesbrough,11,2,5,4,10,12,-2,11,24,0,15
13,Southampton,13,3,4,4,12,12,0,11,19,0,10
14,Stoke City,13,3,4,4,13,18,-5,11,24,0,12
15,Sunderland,5,1,2,8,9,21,-12,11,27,2,20
16,Swansea,5,1,2,8,10,21,-11,11,15,0,19
17,Spurs,21,5,6,0,15,6,9,11,23,0,5
18,Watford,15,4,3,4,15,19,-4,11,28,1,8
19,West Brom,13,3,4,4,12,15,-3,11,29,1,11
20,West Ham,11,3,2,6,11,20,-9,11,32,1,17
