id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,50,15,5,5,54,28,26,25,41,2,4
2,Bournemouth,26,7,5,13,35,49,-14,25,38,2,14
3,Burnley,30,9,3,13,27,36,-9,25,45,1,12
4,Chelsea,60,19,3,3,52,18,34,25,49,0,1
5,Crystal Palace,19,5,4,16,32,46,-14,25,58,0,19
6,Everton,41,11,8,6,40,27,13,25,43,1,7
7,Hull City,20,5,5,15,22,49,-27,25,35,2,18
8,Leicester,21,5,6,14,24,43,-19,25,49,1,17
9,Liverpool,49,14,7,4,54,30,24,25,40,0,5
10,Man City,52,16,4,5,51,29,22,25,52,4,2
11,Man Utd,48,13,9,3,38,21,17,25,53,1,6
12,Middlesbrough,22,4,10,11,19,27,-8,25,54,0,16
13,Southampton,30,8,6,11,28,31,-3,25,34,2,11
14,Stoke City,32,8,8,9,30,36,-6,25,46,1,9
15,Sunderland,19,5,4,16,24,46,-22,25,53,3,20
16,Swansea,24,7,3,15,31,54,-23,25,39,0,15
17,Spurs,50,14,8,3,46,18,28,25,47,0,3
18,Watford,30,8,6,11,29,42,-13,25,59,3,13
19,West Brom,37,10,7,8,34,31,3,25,54,1,8
20,West Ham,32,9,5,11,34,43,-9,25,60,3,10
