id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,72,22,6,9,74,43,31,37,65,2,5
2,Bournemouth,45,12,9,16,54,66,-12,37,52,3,10
3,Burnley,40,11,7,19,38,53,-15,37,63,2,15
4,Chelsea,90,29,3,5,80,32,48,37,71,0,1
5,Crystal Palace,41,12,5,20,50,61,-11,37,78,0,13
6,Everton,61,17,10,10,61,41,20,37,65,2,7
7,Hull City,34,9,7,21,36,73,-37,37,62,4,18
8,Leicester,43,12,7,18,47,62,-15,37,68,1,11
9,Liverpool,73,21,10,6,75,42,33,37,54,0,4
10,Man City,75,22,9,6,75,39,36,37,71,4,3
11,Man Utd,66,17,15,5,52,29,23,37,75,2,6
12,Middlesbrough,28,5,13,19,27,50,-23,37,78,1,19
13,Southampton,46,12,10,15,41,47,-6,37,55,2,8
14,Stoke City,41,10,11,16,40,56,-16,37,67,2,14
15,Sunderland,24,6,6,25,28,64,-36,37,78,4,20
16,Swansea,38,11,5,21,43,69,-26,37,55,0,17
17,Spurs,83,25,8,4,79,25,54,37,62,0,2
18,Watford,40,11,7,19,40,63,-23,37,82,5,16
19,West Brom,45,12,9,16,42,49,-7,37,81,1,9
20,West Ham,42,11,9,17,45,63,-18,37,80,5,12
