id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,54,16,6,8,61,39,22,30,49,2,6
2,Bournemouth,35,9,8,15,45,59,-14,32,47,3,15
3,Burnley,36,10,6,16,32,44,-12,32,59,2,12
4,Chelsea,75,24,3,4,65,25,40,31,60,0,1
5,Crystal Palace,34,10,4,17,42,50,-8,31,65,0,16
6,Everton,54,15,9,8,57,36,21,32,57,2,7
7,Hull City,30,8,6,18,33,64,-31,32,46,3,17
8,Leicester,36,10,6,15,39,51,-12,31,54,1,11
9,Liverpool,63,18,9,5,68,40,28,32,50,0,3
10,Man City,61,18,7,6,60,35,25,31,61,4,4
11,Man Utd,57,15,12,3,46,24,22,30,66,1,5
12,Middlesbrough,24,4,12,15,22,37,-15,31,62,0,19
13,Southampton,40,11,7,12,37,37,0,30,44,2,9
14,Stoke City,36,9,9,14,34,47,-13,32,63,2,13
15,Sunderland,20,5,5,21,24,56,-32,31,64,4,20
16,Swansea,28,8,4,20,37,67,-30,32,51,0,18
17,Spurs,68,20,8,3,64,22,42,31,54,0,2
18,Watford,37,10,7,14,36,52,-16,31,71,4,10
19,West Brom,44,12,8,12,39,41,-2,32,68,1,8
20,West Ham,36,10,6,16,42,57,-15,32,72,4,14
