id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,57,17,6,8,63,40,23,31,51,2,6
2,Bournemouth,35,9,8,16,45,63,-18,33,48,3,16
3,Burnley,36,10,6,17,33,47,-14,33,59,2,14
4,Chelsea,75,24,3,5,65,27,38,32,63,0,1
5,Crystal Palace,35,10,5,17,44,52,-8,32,65,0,15
6,Everton,57,16,9,8,60,37,23,33,59,2,7
7,Hull City,30,8,6,19,34,67,-33,33,48,3,17
8,Leicester,37,10,7,15,41,53,-12,32,56,1,12
9,Liverpool,66,19,9,5,69,40,29,33,51,0,3
10,Man City,64,19,7,6,63,35,28,32,61,4,4
11,Man Utd,60,16,12,3,48,24,24,31,69,1,5
12,Middlesbrough,24,4,12,16,23,39,-16,32,64,0,19
13,Southampton,40,11,7,13,37,40,-3,31,47,2,9
14,Stoke City,39,10,9,14,37,48,-11,33,63,2,11
15,Sunderland,21,5,6,21,26,58,-32,32,65,4,20
16,Swansea,28,8,4,21,37,68,-31,33,51,0,18
17,Spurs,71,21,8,3,68,22,46,32,54,0,2
18,Watford,40,11,7,14,37,52,-15,32,71,4,10
19,West Brom,44,12,8,13,39,42,-3,33,71,1,8
20,West Ham,37,10,7,16,44,59,-15,33,72,5,13
