id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,50,15,5,5,54,28,26,25,41,2,4
2,Bournemouth,26,7,5,14,36,51,-15,26,38,2,14
3,Burnley,31,9,4,13,28,37,-9,26,46,2,11
4,Chelsea,63,20,3,3,55,19,36,26,50,0,1
5,Crystal Palace,22,6,4,16,33,46,-13,26,61,0,18
6,Everton,44,12,8,6,42,27,15,26,43,1,7
7,Hull City,21,5,6,15,23,50,-27,26,36,2,19
8,Leicester,24,6,6,14,27,44,-17,26,49,1,15
9,Liverpool,49,14,7,5,55,33,22,26,40,0,5
10,Man City,52,16,4,5,51,29,22,25,52,4,3
11,Man Utd,48,13,9,3,38,21,17,25,53,1,6
12,Middlesbrough,22,4,10,12,19,28,-9,26,55,0,17
13,Southampton,30,8,6,11,28,31,-3,25,34,2,13
14,Stoke City,32,8,8,10,30,40,-10,26,49,1,10
15,Sunderland,19,5,4,17,24,48,-24,26,55,3,20
16,Swansea,24,7,3,16,32,57,-25,26,42,0,16
17,Spurs,53,15,8,3,50,18,32,26,49,0,2
18,Watford,31,8,7,11,30,43,-13,26,63,3,12
19,West Brom,40,11,7,8,36,32,4,26,56,1,8
20,West Ham,33,9,6,11,35,44,-9,26,61,4,9
