id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,0,0,0,1,3,4,-1,1,3,0,14
2,Bournemouth,0,0,0,1,1,3,-2,1,0,0,20
3,Burnley,0,0,0,1,0,1,-1,1,3,0,18
4,Chelsea,3,1,0,0,2,1,1,1,5,0,3
5,Crystal Palace,0,0,0,1,0,1,-1,1,1,0,19
6,Everton,1,0,1,0,1,1,0,1,1,0,8
7,Hull City,3,1,0,0,2,1,1,1,2,0,4
8,Leicester,0,0,0,1,1,2,-1,1,2,0,15
9,Liverpool,3,1,0,0,4,3,1,1,3,0,2
10,Man City,3,1,0,0,2,1,1,1,1,0,5
11,Man Utd,3,1,0,0,3,1,2,1,1,0,1
12,Middlesbrough,1,0,1,0,1,1,0,1,4,0,9
13,Southampton,1,0,1,0,1,1,0,1,1,0,10
14,Stoke City,1,0,1,0,1,1,0,1,5,0,11
15,Sunderland,0,0,0,1,1,2,-1,1,2,0,16
16,Swansea,3,1,0,0,1,0,1,1,2,0,6
17,Spurs,1,0,1,0,1,1,0,1,0,0,12
18,Watford,1,0,1,0,1,1,0,1,1,1,13
19,West Brom,3,1,0,0,1,0,1,1,2,0,7
20,West Ham,0,0,0,1,1,2,-1,1,2,0,17
