id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,60,18,6,8,64,40,24,32,53,2,6
2,Bournemouth,38,10,8,16,49,63,-14,34,48,3,13
3,Burnley,36,10,6,18,33,49,-16,34,61,2,16
4,Chelsea,78,25,3,5,69,29,40,33,65,0,1
5,Crystal Palace,38,11,5,18,46,54,-8,34,70,0,12
6,Everton,58,16,10,8,60,37,23,34,62,2,7
7,Hull City,33,9,6,19,36,67,-31,34,51,4,17
8,Leicester,37,10,7,16,41,54,-13,33,60,1,15
9,Liverpool,66,19,9,6,70,42,28,34,52,0,3
10,Man City,65,19,8,6,63,35,28,33,62,4,4
11,Man Utd,64,17,13,3,50,24,26,33,70,2,5
12,Middlesbrough,27,5,12,17,24,43,-19,34,69,1,19
13,Southampton,40,11,7,14,39,44,-5,32,49,2,9
14,Stoke City,39,10,9,15,37,50,-13,34,65,2,11
15,Sunderland,21,5,6,22,26,59,-33,33,68,4,20
16,Swansea,31,9,4,21,39,68,-29,34,53,0,18
17,Spurs,74,22,8,3,69,22,47,33,57,0,2
18,Watford,40,11,7,15,37,54,-17,33,72,4,10
19,West Brom,44,12,8,13,39,42,-3,33,71,1,8
20,West Ham,38,10,8,16,44,59,-15,34,74,5,14
