id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,51,15,6,7,58,36,22,28,46,2,6
2,Bournemouth,34,9,7,14,42,54,-12,30,44,3,11
3,Burnley,32,9,5,16,31,44,-13,30,53,2,15
4,Chelsea,69,22,3,4,60,23,37,29,56,0,1
5,Crystal Palace,31,9,4,16,38,47,-9,29,64,0,16
6,Everton,50,14,8,8,52,33,19,30,51,1,7
7,Hull City,27,7,6,17,28,59,-31,30,42,3,18
8,Leicester,33,9,6,14,35,47,-12,29,52,1,13
9,Liverpool,59,17,8,5,64,37,27,30,47,0,3
10,Man City,58,17,7,5,56,32,24,29,58,4,4
11,Man Utd,53,14,11,3,42,23,19,28,60,1,5
12,Middlesbrough,23,4,11,14,20,33,-13,29,61,0,19
13,Southampton,34,9,7,12,33,36,-3,28,40,2,10
14,Stoke City,36,9,9,12,33,44,-11,30,61,2,9
15,Sunderland,20,5,5,19,24,51,-27,29,62,3,20
16,Swansea,28,8,4,18,36,63,-27,30,49,0,17
17,Spurs,62,18,8,3,57,21,36,29,53,0,2
18,Watford,34,9,7,13,34,48,-14,29,69,3,12
19,West Brom,44,12,8,10,39,38,1,30,62,1,8
20,West Ham,33,9,6,15,41,54,-13,30,65,4,14
