id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,54,16,6,7,61,36,25,29,48,2,5
2,Bournemouth,35,9,8,14,44,56,-12,31,45,3,13
3,Burnley,35,10,5,16,32,44,-12,31,56,2,14
4,Chelsea,72,23,3,4,62,24,38,30,57,0,1
5,Crystal Palace,31,9,4,17,39,50,-11,30,65,0,16
6,Everton,51,14,9,8,53,34,19,31,55,2,7
7,Hull City,30,8,6,17,32,61,-29,31,44,3,17
8,Leicester,36,10,6,14,37,47,-10,30,52,1,11
9,Liverpool,60,17,9,5,66,39,27,31,48,0,3
10,Man City,58,17,7,6,57,34,23,30,61,4,4
11,Man Utd,54,14,12,3,43,24,19,29,61,1,6
12,Middlesbrough,23,4,11,15,22,37,-15,30,62,0,19
13,Southampton,37,10,7,12,36,37,-1,29,42,2,9
14,Stoke City,36,9,9,13,33,45,-12,31,63,2,12
15,Sunderland,20,5,5,20,24,53,-29,30,63,3,20
16,Swansea,28,8,4,19,37,66,-29,31,50,0,18
17,Spurs,65,19,8,3,60,22,38,30,54,0,2
18,Watford,37,10,7,13,36,48,-12,30,70,4,10
19,West Brom,44,12,8,11,39,40,-1,31,66,1,8
20,West Ham,33,9,6,16,41,57,-16,31,67,4,15
