id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,7,2,1,1,8,6,2,4,7,0,7
2,Bournemouth,4,1,1,2,3,5,-2,4,4,1,14
3,Burnley,4,1,1,2,3,5,-2,4,7,0,15
4,Chelsea,10,3,1,0,9,4,5,4,14,0,2
5,Crystal Palace,4,1,1,2,3,4,-1,4,8,0,11
6,Everton,10,3,1,0,7,2,5,4,5,0,3
7,Hull City,7,2,1,1,5,3,2,4,4,0,8
8,Leicester,4,1,1,2,4,7,-3,4,7,0,16
9,Liverpool,7,2,1,1,9,7,2,4,10,0,6
10,Man City,12,4,0,0,11,4,7,4,8,0,1
11,Man Utd,9,3,0,1,7,3,4,4,8,0,4
12,Middlesbrough,5,1,2,1,4,4,0,4,9,0,9
13,Southampton,2,0,2,2,3,6,-3,4,7,0,18
14,Stoke City,1,0,1,3,2,10,-8,4,13,0,20
15,Sunderland,1,0,1,3,3,8,-5,4,6,0,19
16,Swansea,4,1,1,2,4,6,-2,4,7,0,13
17,Spurs,8,2,2,0,7,2,5,4,8,0,5
18,Watford,4,1,1,2,7,8,-1,4,13,1,10
19,West Brom,4,1,1,2,2,3,-1,4,8,0,12
20,West Ham,3,1,0,3,5,9,-4,4,11,0,17
