team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Crystal Palace,5,2016,5,12,16,10,10,3,0,0,1,1,2,3,2,7,True,Man City
Man City,10,2016,10,12,3,5,5,16,1,0,0,2,1,8,3,1,False,Crystal Palace
Everton,6,2016,6,12,7,16,16,20,0,1,0,1,1,5,4,3,True,Swansea
Swansea,16,2016,16,12,20,6,6,7,0,1,0,1,1,1,3,8,False,Everton
Man Utd,11,2016,11,12,6,1,1,4,0,1,0,1,1,5,4,3,True,Arsenal
Arsenal,1,2016,1,12,4,11,11,6,0,1,0,1,1,7,4,1,False,Man Utd
Middlesbrough,12,2016,12,12,15,4,4,1,0,0,1,0,1,2,5,5,True,Chelsea
Chelsea,4,2016,4,12,1,12,12,15,1,0,0,1,0,9,1,2,False,Middlesbrough
Southampton,13,2016,13,12,11,9,9,2,0,1,0,0,0,3,5,4,True,Liverpool
Liverpool,9,2016,9,12,2,13,13,11,0,1,0,0,0,8,3,1,False,Southampton
Stoke City,14,2016,14,12,13,2,2,10,0,0,1,0,1,3,4,5,True,Bournemouth
Bournemouth,2,2016,2,12,10,14,14,13,1,0,0,1,0,4,3,5,False,Stoke City
Sunderland,15,2016,15,12,19,7,7,18,1,0,0,3,0,2,2,8,True,Hull City
Hull City,7,2016,7,12,18,15,15,19,0,0,1,0,3,3,1,8,False,Sunderland
Spurs,17,2016,17,12,5,20,20,17,1,0,0,3,2,6,6,0,True,West Ham
West Ham,20,2016,20,12,17,17,17,5,0,0,1,2,3,3,2,7,False,Spurs
Watford,18,2016,18,12,8,8,8,14,1,0,0,2,1,5,3,4,True,Leicester
Leicester,8,2016,8,12,14,18,18,8,0,0,1,1,2,3,3,6,False,Watford
West Brom,19,2016,19,12,9,3,3,12,1,0,0,4,0,4,4,4,True,Burnley
Burnley,3,2016,3,12,12,19,19,9,0,0,1,0,4,4,2,6,False,West Brom
