id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,20,6,2,1,19,9,10,9,10,1,2
2,Bournemouth,12,3,3,3,12,12,0,9,13,1,10
3,Burnley,10,3,1,5,8,13,-5,9,13,0,14
4,Chelsea,19,6,1,2,19,9,10,9,23,0,4
5,Crystal Palace,11,3,2,4,12,12,0,9,17,0,11
6,Everton,15,4,3,2,13,8,5,9,16,0,6
7,Hull City,7,2,1,6,8,22,-14,9,11,1,18
8,Leicester,11,3,2,4,11,15,-4,9,11,0,12
9,Liverpool,20,6,2,1,20,11,9,9,15,0,3
10,Man City,20,6,2,1,20,9,11,9,18,1,1
11,Man Utd,14,4,2,3,13,12,1,9,21,0,7
12,Middlesbrough,7,1,4,4,7,11,-4,9,19,0,17
13,Southampton,13,3,4,2,11,8,3,9,14,0,8
14,Stoke City,9,2,3,4,9,16,-7,9,21,0,16
15,Sunderland,2,0,2,7,6,16,-10,9,20,1,20
16,Swansea,5,1,2,6,8,15,-7,9,15,0,19
17,Spurs,19,5,4,0,13,4,9,9,18,0,5
18,Watford,12,3,3,3,13,13,0,9,25,1,9
19,West Brom,10,2,4,3,10,10,0,9,23,1,13
20,West Ham,10,3,1,5,10,17,-7,9,25,1,15
