name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,season,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc,name_first,name_last,element_type
Aaron_Cresswell,0,25,0,1,0,4,0,4,15,5.0,0,0,454,1,0,227,0,4,0,1.1,13571,2.2,0,2017-02-01T19:45:00Z,01 Feb 19:45,0,0,90,0,1,10,0,0,0,0,4,0,23,0,18161,1,1,1,4,0,4.0,0,-772,511,1283,53,True,0,0,20.0,28,8,4,11,29,40,-11,23,55,3,11,2016,13,13,27,7,6,11,24,31,-7,24,34,2,Aaron,Cresswell,2
Aaron_Lennon,0,0,0,0,0,0,0,0,0,0.0,0,0,142,0,0,230,0,0,0,0.0,13259,0.0,0,2017-02-01T20:00:00Z,01 Feb 20:00,0,0,0,0,0,14,0,0,0,0,0,0,23,0,8531,0,0,0,1,1,0.0,0,-160,91,251,55,False,0,0,6.0,37,10,7,6,34,24,10,23,40,1,7,2016,2,14,26,7,5,12,35,47,-12,24,36,2,Aaron,Lennon,3
Aaron_Ramsey,0,14,0,0,0,2,0,1,12,0.1,0,0,16,0,0,221,0,2,0,0.0,13133,0.0,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,19,0,0,18,0,0,0,0,1,0,23,0,42044,0,0,1,2,1,1.0,1,-372,589,961,76,True,0,0,1.0,47,14,5,4,51,25,26,23,37,2,3,2016,4,1,59,19,2,3,51,17,34,24,47,0,Aaron,Ramsey,3
Aaron_Wan-Bissaka,0,0,0,0,0,0,0,0,0,0.0,0,0,612,0,0,222,0,0,0,0.0,13729,0.0,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,0,0,0,2,0,0,0,0,0,0,23,0,107,0,0,0,2,0,0.0,0,0,7,7,45,False,0,0,5.0,19,5,4,14,32,41,-9,23,52,0,18,2016,15,20,19,5,4,15,24,42,-18,24,52,3,Aaron,Wan-Bissaka,3
Abdoulaye_Doucouré,0,10,0,0,0,7,0,2,5,0.5,1,0,482,0,0,221,0,0,0,0.7,13599,6.6,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,28,0,0,1,0,0,0,0,4,0,23,0,749,1,1,0,2,1,0.0,1,-6,14,20,46,False,0,0,18.0,27,7,6,10,27,39,-12,23,54,3,13,2016,3,12,29,9,2,13,26,35,-9,24,42,1,Abdoulaye,Doucouré,3
Abdul Rahman_Baba,0,0,0,0,0,0,0,0,0,0.0,0,0,80,0,0,228,0,0,0,0.0,13197,0.0,0,2017-01-31T20:00:00Z,31 Jan 20:00,0,0,0,0,0,9,0,0,0,0,0,0,23,0,1346,0,0,0,1,1,0.0,0,-18,16,34,55,False,0,0,4.0,56,18,2,3,48,16,32,23,46,0,1,2016,1,4,47,14,5,5,52,28,24,24,38,2,Abdul Rahman,Baba,2
Abel_Hernández,0,1,0,0,0,3,0,0,1,0.0,0,0,163,0,0,229,0,0,0,1.0,13280,3.0,0,2017-02-01T20:00:00Z,01 Feb 20:00,0,0,22,0,0,11,0,0,0,0,0,0,23,0,41578,0,0,0,0,0,7.0,1,-560,1465,2025,59,False,0,0,7.0,17,4,5,14,20,47,-27,23,32,1,19,2016,9,5,46,13,7,4,52,30,22,24,37,0,Abel,Hernández,4
Adama_Diomande,0,0,0,0,0,0,0,0,0,0.0,0,0,164,0,0,229,0,0,0,0.0,13281,0.0,0,2017-02-01T20:00:00Z,01 Feb 20:00,0,0,0,0,0,11,0,0,0,0,0,0,23,0,226141,0,0,0,0,0,0.0,0,-9219,4881,14100,45,False,0,0,7.0,17,4,5,14,20,47,-27,23,32,1,19,2016,9,5,46,13,7,4,52,30,22,24,37,0,Adama,Diomande,4
Adama_Traoré,0,28,0,0,0,21,0,2,16,5.3,6,0,563,0,0,224,0,1,0,5.2,13680,19.2,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,90,0,0,19,0,0,0,0,8,0,23,0,8847,2,4,0,1,1,27.0,2,194,1050,856,48,True,0,0,12.0,21,4,9,10,19,26,-7,23,51,0,15,2016,17,2,50,14,8,2,46,16,30,24,42,0,Adama,Traoré,3
Adam_Clayton,0,58,0,0,0,21,0,3,54,52.3,0,0,283,0,0,224,0,1,0,7.8,13400,25.0,4,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,90,0,1,19,0,0,0,0,8,0,23,0,42506,0,1,1,1,1,1.0,2,94,2977,2883,43,True,0,0,12.0,21,4,9,10,19,26,-7,23,51,0,15,2016,17,2,50,14,8,2,46,16,30,24,42,0,Adam,Clayton,3
Adam_Federici,0,0,0,0,0,0,0,0,0,0.0,0,0,30,0,0,222,0,0,0,0.0,13147,0.0,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,0,0,0,5,0,0,0,0,0,0,23,0,5237,0,0,0,2,0,0.0,0,-75,26,101,44,True,0,0,2.0,26,7,5,11,32,41,-9,23,35,2,14,2016,6,7,40,11,7,6,40,27,13,24,43,1,Adam,Federici,1
Adam_Forshaw,0,49,0,0,0,10,0,1,41,6.7,1,0,286,0,0,224,2,1,0,3.8,13403,5.6,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,90,0,0,19,0,0,0,0,4,0,23,0,36323,2,1,0,1,1,26.0,2,-925,2478,3403,45,True,0,0,12.0,21,4,9,10,19,26,-7,23,51,0,15,2016,17,2,50,14,8,2,46,16,30,24,42,0,Adam,Forshaw,3
Adam_Lallana,0,27,0,0,0,3,0,2,22,5.8,0,0,205,0,0,228,2,1,0,1.8,13322,2.6,0,2017-01-31T20:00:00Z,31 Jan 20:00,0,0,89,1,0,4,0,0,0,0,1,0,23,0,990409,3,1,0,1,1,10.0,2,-196755,13259,210014,75,True,0,0,9.0,46,13,7,3,52,28,24,23,36,0,4,2016,7,18,20,5,5,14,22,47,-25,24,34,1,Adam,Lallana,3
Adam_Matthews,0,0,0,0,0,0,0,0,0,0.0,0,0,345,0,0,225,0,0,0,0.0,13462,0.0,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,0,0,0,17,0,0,0,0,0,0,23,0,1035,0,0,0,0,0,0.0,0,-6,10,16,40,True,0,0,15.0,16,4,4,15,20,42,-22,23,49,3,20,2016,5,19,19,5,4,15,32,45,-13,24,55,0,Adam,Matthews,2
Adam_Reach,0,0,0,0,0,0,0,0,0,0.0,0,0,285,0,0,224,0,0,0,0.0,13402,0.0,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,0,0,0,19,0,0,0,0,0,0,23,0,1035,0,0,0,1,1,0.0,0,-7,3,10,44,True,0,0,12.0,21,4,9,10,19,26,-7,23,51,0,15,2016,17,2,50,14,8,2,46,16,30,24,42,0,Adam,Reach,3
Adam_Smith,0,35,0,0,0,18,0,0,35,26.9,2,0,34,0,0,222,3,2,0,3.9,13151,9.6,2,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,90,0,1,5,0,0,0,0,3,0,23,0,340304,1,2,0,2,0,2.0,1,-4001,8002,12003,47,True,0,0,2.0,26,7,5,11,32,41,-9,23,35,2,14,2016,6,7,40,11,7,6,40,27,13,24,43,1,Adam,Smith,2
Ademola_Lookman,0,10,0,0,0,2,0,0,10,2.0,1,0,627,0,0,230,0,0,0,2.9,13744,2.6,0,2017-02-01T20:00:00Z,01 Feb 20:00,0,0,22,0,0,14,0,0,0,0,0,0,23,0,3343,1,0,1,1,1,24.0,1,-259,513,772,55,False,0,0,6.0,37,10,7,6,34,24,10,23,40,1,7,2016,2,14,26,7,5,12,35,47,-12,24,36,2,Ademola,Lookman,3
Adlène_Guédioura,0,0,0,0,0,0,0,0,0,0.0,0,0,415,0,0,224,0,0,0,0.0,13758,0.0,0,2017-01-31T19:45:00Z,31 Jan 19:45,0,0,0,0,0,19,0,0,0,0,0,0,23,0,3447,0,0,0,1,1,0.0,0,-110,7,6,43,True,0,0,12.0,21,4,9,10,19,26,-7,23,51,0,15,2016,17,2,50,14,8,2,46,16,30,24,42,0,Adlène,Guédioura,3
