id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,50,15,5,7,56,34,22,27,43,2,6
2,Bournemouth,33,9,6,14,42,54,-12,29,44,3,11
3,Burnley,32,9,5,15,31,42,-11,29,51,2,13
4,Chelsea,69,22,3,3,59,21,38,28,53,0,1
5,Crystal Palace,28,8,4,16,36,46,-10,28,62,0,16
6,Everton,50,14,8,7,51,30,21,29,48,1,7
7,Hull City,24,6,6,17,26,58,-32,29,40,3,18
8,Leicester,30,8,6,14,33,47,-14,28,51,1,15
9,Liverpool,56,16,8,5,61,36,25,29,46,0,4
10,Man City,57,17,6,5,54,30,24,28,56,4,3
11,Man Utd,52,14,10,3,42,23,19,27,57,1,5
12,Middlesbrough,22,4,10,14,20,33,-13,28,58,0,19
13,Southampton,33,9,6,12,33,36,-3,27,39,2,10
14,Stoke City,36,9,9,11,33,42,-9,29,57,2,9
15,Sunderland,20,5,5,18,24,50,-26,28,59,3,20
16,Swansea,27,8,3,18,36,63,-27,29,47,0,17
17,Spurs,59,17,8,3,55,21,34,28,53,0,2
18,Watford,31,8,7,13,33,48,-15,28,68,3,14
19,West Brom,43,12,7,10,39,38,1,29,59,1,8
20,West Ham,33,9,6,14,40,52,-12,29,63,4,12
