id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,1,0,1,1,3,4,-1,2,5,0,13
2,Bournemouth,0,0,0,2,1,4,-3,2,1,1,20
3,Burnley,3,1,0,1,2,1,1,2,3,0,8
4,Chelsea,6,2,0,0,4,2,2,2,8,0,4
5,Crystal Palace,0,0,0,2,0,2,-2,2,4,0,19
6,Everton,4,1,1,0,3,2,1,2,2,0,5
7,Hull City,6,2,0,0,4,1,3,2,2,0,3
8,Leicester,1,0,1,1,1,2,-1,2,3,0,15
9,Liverpool,3,1,0,1,4,5,-1,2,4,0,11
10,Man City,6,2,0,0,6,2,4,2,5,0,1
11,Man Utd,6,2,0,0,5,1,4,2,1,0,2
12,Middlesbrough,4,1,1,0,3,2,1,2,5,0,6
13,Southampton,1,0,1,1,1,3,-2,2,1,0,16
14,Stoke City,1,0,1,1,2,5,-3,2,9,0,17
15,Sunderland,0,0,0,2,2,4,-2,2,3,0,18
16,Swansea,3,1,0,1,1,2,-1,2,2,0,12
17,Spurs,4,1,1,0,2,1,1,2,3,0,7
18,Watford,1,0,1,1,2,3,-1,2,5,1,14
19,West Brom,3,1,0,1,2,2,0,2,4,0,9
20,West Ham,3,1,0,1,2,2,0,2,5,0,10
