id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,41,12,5,3,44,22,22,20,33,1,5
2,Bournemouth,25,7,4,9,29,34,-5,20,33,2,9
3,Burnley,23,7,2,11,22,31,-9,20,37,0,12
4,Chelsea,49,16,1,3,42,15,27,20,44,0,1
5,Crystal Palace,16,4,4,12,30,37,-7,20,45,0,17
6,Everton,30,8,6,6,28,23,5,20,37,1,7
7,Hull City,13,3,4,13,17,44,-27,20,25,1,20
8,Leicester,21,5,6,9,24,31,-7,20,43,1,15
9,Liverpool,44,13,5,2,48,23,25,20,30,0,2
10,Man City,42,13,3,4,41,22,19,20,40,4,4
11,Man Utd,39,11,6,3,31,19,12,20,46,1,6
12,Middlesbrough,19,4,7,9,17,22,-5,20,46,0,16
13,Southampton,24,6,6,8,19,25,-6,20,32,2,10
14,Stoke City,24,6,6,8,24,32,-8,20,37,1,11
15,Sunderland,15,4,3,13,19,37,-18,20,44,3,18
16,Swansea,15,4,3,13,23,45,-22,20,29,0,19
17,Spurs,42,12,6,2,39,14,25,20,38,0,3
18,Watford,22,6,4,10,23,36,-13,20,46,3,14
19,West Brom,29,8,5,7,28,24,4,20,46,1,8
20,West Ham,22,6,4,10,23,35,-12,20,47,3,13
