id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,60,18,6,9,64,42,22,33,56,2,6
2,Bournemouth,41,11,8,16,50,63,-13,35,50,3,10
3,Burnley,39,11,6,18,35,49,-14,35,61,2,14
4,Chelsea,81,26,3,5,72,29,43,34,69,0,1
5,Crystal Palace,38,11,5,19,46,56,-10,35,72,0,16
6,Everton,58,16,10,9,60,40,20,35,65,2,7
7,Hull City,34,9,7,19,36,67,-31,35,54,4,17
8,Leicester,40,11,7,16,42,54,-12,34,62,1,11
9,Liverpool,69,20,9,6,71,42,29,35,53,0,3
10,Man City,66,19,9,6,65,37,28,34,66,4,4
11,Man Utd,65,17,14,3,51,25,26,34,72,2,5
12,Middlesbrough,28,5,13,17,26,45,-19,35,73,1,19
13,Southampton,41,11,8,14,39,44,-5,33,49,2,9
14,Stoke City,40,10,10,15,37,50,-13,35,66,2,12
15,Sunderland,21,5,6,23,26,60,-34,34,71,4,20
16,Swansea,32,9,5,21,40,69,-29,35,55,0,18
17,Spurs,77,23,8,3,71,22,49,34,58,0,2
18,Watford,40,11,7,16,37,55,-18,34,75,4,13
19,West Brom,44,12,8,14,39,43,-4,34,73,1,8
20,West Ham,39,10,9,16,44,59,-15,35,74,5,15
