team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Bournemouth,2,2016,2,17,10,13,13,7,0,0,1,1,3,6,3,8,True,Southampton
Southampton,13,2016,13,17,7,2,2,10,1,0,0,3,1,6,6,5,False,Bournemouth
Crystal Palace,5,2016,5,17,17,4,4,1,0,0,1,0,1,4,3,10,True,Chelsea
Chelsea,4,2016,4,17,1,5,5,17,1,0,0,1,0,14,1,2,False,Crystal Palace
Everton,6,2016,6,17,9,9,9,2,0,0,1,0,1,6,5,6,True,Liverpool
Liverpool,9,2016,9,17,2,6,6,9,1,0,0,1,0,11,4,2,False,Everton
Man City,10,2016,10,17,3,1,1,4,1,0,0,2,1,11,3,3,True,Arsenal
Arsenal,1,2016,1,17,4,10,10,3,0,0,1,1,2,10,4,3,False,Man City
Middlesbrough,12,2016,12,17,14,16,16,19,1,0,0,3,0,4,6,7,True,Swansea
Swansea,16,2016,16,17,19,12,12,14,0,0,1,0,3,3,3,11,False,Middlesbrough
Stoke City,14,2016,14,17,11,8,8,15,0,1,0,2,2,5,6,6,True,Leicester
Leicester,8,2016,8,17,15,14,14,11,0,1,0,2,2,4,5,8,False,Stoke City
Sunderland,15,2016,15,17,18,18,18,12,1,0,0,1,0,4,2,11,True,Watford
Watford,18,2016,18,17,12,15,15,18,0,0,1,0,1,6,3,8,False,Sunderland
Spurs,17,2016,17,17,5,3,3,16,1,0,0,2,1,9,6,2,True,Burnley
Burnley,3,2016,3,17,16,17,17,5,0,0,1,1,2,5,2,10,False,Spurs
West Brom,19,2016,19,17,8,11,11,6,0,0,1,0,2,6,5,6,True,Man Utd
Man Utd,11,2016,11,17,6,19,19,8,1,0,0,2,0,8,6,3,False,West Brom
West Ham,20,2016,20,17,13,7,7,20,1,0,0,1,0,5,4,8,True,Hull City
Hull City,7,2016,7,17,20,20,20,13,0,0,1,0,1,3,3,11,False,West Ham
