id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,23,7,2,1,23,10,13,10,13,1,2
2,Bournemouth,12,3,3,4,12,14,-2,10,14,1,10
3,Burnley,11,3,2,5,8,13,-5,10,16,0,14
4,Chelsea,22,7,1,2,21,9,12,10,23,0,4
5,Crystal Palace,11,3,2,5,14,16,-2,10,18,0,13
6,Everton,18,5,3,2,15,8,7,10,17,0,6
7,Hull City,7,2,1,7,8,23,-15,10,13,1,18
8,Leicester,12,3,3,4,12,16,-4,10,15,0,11
9,Liverpool,23,7,2,1,24,13,11,10,17,0,3
10,Man City,23,7,2,1,24,9,15,10,21,1,1
11,Man Utd,15,4,3,3,13,12,1,10,22,1,8
12,Middlesbrough,10,2,4,4,9,11,-2,10,21,0,15
13,Southampton,13,3,4,3,11,10,1,10,14,0,9
14,Stoke City,12,3,3,4,12,17,-5,10,23,0,12
15,Sunderland,2,0,2,8,7,20,-13,10,25,1,20
16,Swansea,5,1,2,7,9,18,-9,10,15,0,19
17,Spurs,20,5,5,0,14,5,9,10,21,0,5
18,Watford,15,4,3,3,14,13,1,10,26,1,7
19,West Brom,10,2,4,4,10,14,-4,10,27,1,16
20,West Ham,10,3,1,6,10,19,-9,10,28,1,17
