id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,25,7,4,1,25,12,13,12,17,1,4
2,Bournemouth,15,4,3,5,14,16,-2,12,20,1,10
3,Burnley,14,4,2,6,11,19,-8,12,17,0,12
4,Chelsea,28,9,1,2,27,9,18,12,26,0,1
5,Crystal Palace,11,3,2,7,17,21,-4,12,21,0,16
6,Everton,19,5,4,3,16,14,2,12,25,0,7
7,Hull City,10,3,1,8,10,27,-17,12,13,1,18
8,Leicester,12,3,3,6,14,20,-6,12,18,0,14
9,Liverpool,27,8,3,1,30,14,16,12,19,0,2
10,Man City,27,8,3,1,27,11,16,12,24,1,3
11,Man Utd,19,5,4,3,17,14,3,12,27,1,6
12,Middlesbrough,11,2,5,5,10,13,-3,12,26,0,15
13,Southampton,14,3,5,4,12,12,0,12,20,0,11
14,Stoke City,13,3,4,5,13,19,-6,12,27,0,13
15,Sunderland,8,2,2,8,12,21,-9,12,28,3,19
16,Swansea,6,1,3,8,11,22,-11,12,17,0,20
17,Spurs,24,6,6,0,18,8,10,12,26,0,5
18,Watford,18,5,3,4,17,20,-3,12,30,1,8
19,West Brom,16,4,4,4,16,15,1,12,29,1,9
20,West Ham,11,3,2,7,13,23,-10,12,34,2,17
