assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,name_first,name_last,name,season,element_type,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc
0,0,0,0,0.3,492,3,1,0,0.0,0.0,2020-09-12T16:30:00Z,28,11,0,0,0,0,1,0,462199,3,4,0.0,1,0,0,0,60,False,0,Rodrigo,Moreno,Rodrigo_Moreno,2020,4,10.0,0,0,0,1,3,4,-1,1,0,0,13,8,19,0,0,0,1,0,3,-3,1,2,0
0,0,0,0,0.0,493,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,76220,3,0,0.0,0,0,0,0,45,True,0,Mario,Lemina,Mario_Lemina,2020,3,8.0,0,0,0,1,0,3,-3,1,2,0,19,10,13,0,0,0,1,3,4,-1,1,0,0
0,3,37,1,0.3,494,2,0,1,8.5,51.8,2020-09-12T11:30:00Z,90,8,0,0,0,0,1,0,85593,3,0,33.0,15,0,0,0,50,False,0,Gabriel,Magalhães,Gabriel_Magalhães,2020,2,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,0,0,0.0,497,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,19,0,0,0,0,1,0,2064,2,0,0.0,0,0,0,0,50,False,0,Jacob,Murphy,Jacob_Murphy,2020,3,14.0,3,1,0,0,2,0,2,1,2,0,4,3,16,0,0,0,1,1,3,-2,1,1,0
0,2,38,1,3.0,498,5,0,1,8.4,45.8,2020-09-13T13:00:00Z,90,18,0,0,0,0,1,0,67356,3,0,35.0,14,0,0,0,55,False,0,Timothy,Castagne,Timothy_Castagne,2020,2,9.0,3,1,0,0,3,0,3,1,1,0,2,4,10,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0,499,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,9,0,0,0,0,1,0,4451,3,0,0.0,0,0,0,0,45,True,0,Cedric,Kipre,Cedric_Kipre,2020,2,18.0,0,0,0,1,0,3,-3,1,1,0,20,7,8,3,1,0,0,1,0,1,1,0,0
0,0,8,0,14.8,500,7,1,0,2.3,8.4,2020-09-14T19:15:00Z,79,3,0,0,0,0,1,0,755977,3,1,0.0,2,0,0,0,85,False,0,Kai,Havertz,Kai_Havertz,2020,3,5.0,3,1,0,0,3,1,2,1,0,0,3,11,6,3,1,0,0,4,3,1,1,1,0
0,0,6,0,1.3,501,2,0,0,1.1,5.2,2020-09-12T11:30:00Z,12,8,0,0,0,0,1,0,115657,3,0,4.0,1,0,0,0,50,False,0,Daniel,Ceballos Fernández,Daniel_Ceballos Fernández,2020,3,1.0,3,1,0,0,3,0,3,1,2,0,1,19,18,0,0,0,1,0,2,-2,1,2,0
0,0,16,1,3.4,502,4,0,0,2.1,18.0,2020-09-13T15:30:00Z,90,17,0,0,0,0,1,0,75335,1,0,0.0,3,0,0,0,55,False,0,Allan,Marques Loureiro,Allan_Marques Loureiro,2020,3,7.0,3,1,0,0,1,0,1,1,0,0,8,18,20,0,0,0,1,0,3,-3,1,1,0
0,0,0,0,0.0,503,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,107597,3,1,0.0,0,0,0,0,40,True,0,Christian,Walton,Christian_Walton,2020,1,3.0,0,0,0,1,1,3,-2,1,1,0,16,14,4,3,1,0,0,2,0,2,1,2,0
