code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,25,34,11,ARS,4,,False,0,1190,1210,1170,1210,1190,1200,1,10,4,11,31,26,5,37,5
7,0,,2,0,Aston Villa,23,36,8,AVL,3,,False,0,1150,1150,1150,1150,1180,1210,2,11,3,9,37,26,11,38,2
36,0,,3,0,Brighton,25,26,16,BHA,3,,False,0,1120,1100,1150,1180,1090,1100,131,5,11,9,26,32,-6,34,3
90,0,,4,0,Burnley,25,28,15,BUR,3,,False,0,1070,1080,1120,1190,1010,1030,43,7,7,11,18,30,-12,34,0
8,0,,5,0,Chelsea,25,43,5,CHE,4,,False,0,1250,1300,1240,1280,1270,1310,4,12,7,6,41,25,16,34,1
31,0,,6,0,Crystal Palace,25,32,13,CRY,3,,False,0,1120,1110,1100,1150,1020,1050,6,9,5,11,29,43,-14,31,2
11,0,,7,0,Everton,24,40,7,EVE,4,,False,0,1240,1160,1150,1170,1210,1250,7,12,4,8,37,33,4,42,2
54,0,,8,0,Fulham,25,22,18,FUL,3,,False,0,1090,1100,1020,1030,1020,1020,34,4,10,11,21,32,-11,45,3
13,0,,9,0,Leicester,25,49,3,LEI,4,,False,0,1240,1270,1190,1190,1200,1180,26,15,4,6,44,27,17,45,0
2,0,,10,0,Leeds,25,35,10,LEE,3,,False,0,1130,1170,1060,1110,1130,1160,9,11,2,12,43,43,0,36,0
14,0,,11,0,Liverpool,25,40,6,LIV,4,,False,0,1250,1270,1240,1320,1330,1350,10,11,7,7,45,34,11,29,0
43,0,,12,0,Man City,25,59,1,MCI,5,,False,0,1350,1360,1260,1320,1330,1350,11,18,5,2,50,15,35,28,0
1,0,,13,0,Man Utd,25,49,2,MUN,4,,False,0,1260,1320,1220,1230,1250,1260,12,14,7,4,53,32,21,39,1
4,0,,14,0,Newcastle,25,25,17,NEW,3,,False,0,1090,1120,1100,1120,1010,1060,23,7,4,14,26,43,-17,45,2
49,0,,15,0,Sheffield Utd,25,11,20,SHU,2,,False,0,1040,1070,1110,1130,1010,1050,18,3,2,20,15,41,-26,48,2
20,0,,16,0,Southampton,25,30,14,SOU,3,,False,0,1080,1110,1140,1200,1110,1160,20,8,6,11,31,43,-12,38,2
6,0,,17,0,Spurs,24,36,9,TOT,4,,False,0,1200,1260,1190,1240,1280,1320,21,10,6,8,37,27,10,33,1
35,0,,18,0,West Brom,25,14,19,WBA,2,,False,0,1020,1050,1020,1020,1000,1010,36,2,8,15,19,55,-36,35,4
21,0,,19,0,West Ham,25,45,4,WHU,4,,False,0,1220,1260,1150,1160,1170,1180,25,13,6,6,39,29,10,31,1
39,0,,20,0,Wolves,25,33,12,WOL,3,,False,0,1130,1170,1180,1220,1100,1170,38,9,6,10,26,32,-6,39,1
