code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,6,9,11,ARS,4,,False,0,1190,1210,1170,1210,1190,1200,1,3,0,3,8,7,1,9,0
7,0,,2,0,Aston Villa,5,12,3,AVL,3,,False,0,1150,1160,1150,1150,1180,1210,2,4,0,1,12,5,7,13,0
36,0,,3,0,Brighton,6,5,16,BHA,3,,False,0,1080,1100,1150,1180,1090,1100,131,1,2,3,10,12,-2,9,2
90,0,,4,0,Burnley,5,1,18,BUR,2,,False,0,1050,1080,1120,1190,1010,1030,43,0,1,4,3,9,-6,10,0
8,0,,5,0,Chelsea,6,9,10,CHE,4,,False,0,1260,1280,1240,1280,1270,1310,4,2,3,1,13,9,4,7,1
31,0,,6,0,Crystal Palace,6,10,8,CRY,3,,False,0,1110,1150,1100,1150,1020,1050,6,3,1,2,8,9,-1,10,0
11,0,,7,0,Everton,6,13,1,EVE,3,,False,0,1180,1210,1150,1170,1210,1250,7,4,1,1,14,9,5,7,2
54,0,,8,0,Fulham,6,1,20,FUL,2,,False,0,1000,1020,1020,1030,1020,1020,34,0,1,5,5,14,-9,13,1
13,0,,9,0,Leicester,6,12,4,LEI,4,,False,0,1220,1240,1190,1190,1200,1180,26,4,0,2,13,8,5,16,0
2,0,,10,0,Leeds,6,10,6,LEE,3,,False,0,1100,1130,1060,1110,1130,1160,9,3,1,2,12,9,3,8,0
14,0,,11,0,Liverpool,6,13,2,LIV,5,,False,0,1320,1360,1240,1320,1330,1350,10,4,1,1,15,14,1,6,0
43,0,,12,0,Man City,5,8,13,MCI,5,,False,0,1310,1360,1260,1320,1330,1350,11,2,2,1,8,8,0,9,0
1,0,,13,0,Man Utd,5,7,15,MUN,4,,False,0,1230,1230,1220,1230,1250,1260,12,2,1,2,9,12,-3,10,1
4,0,,14,0,Newcastle,6,8,14,NEW,3,,False,0,1100,1130,1100,1120,1010,1060,23,2,2,2,8,10,-2,13,0
49,0,,15,0,Sheffield Utd,6,1,19,SHU,3,,False,0,1070,1100,1110,1130,1010,1050,18,0,1,5,3,9,-6,9,1
20,0,,16,0,Southampton,6,10,7,SOU,3,,False,0,1150,1180,1140,1200,1110,1160,20,3,1,2,10,9,1,9,0
6,0,,17,0,Spurs,6,11,5,TOT,4,,False,0,1270,1280,1190,1240,1280,1320,21,3,2,1,16,8,8,6,0
35,0,,18,0,West Brom,6,3,17,WBA,2,,False,0,1010,1030,1020,1020,1000,1010,36,0,3,3,6,14,-8,5,1
21,0,,19,0,West Ham,6,8,12,WHU,3,,False,0,1140,1170,1150,1160,1170,1180,25,2,2,2,12,8,4,12,0
39,0,,20,0,Wolves,6,10,9,WOL,3,,False,0,1160,1190,1180,1220,1100,1170,38,3,1,2,6,8,-2,4,0
