code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,10,13,14,ARS,4,,False,0,1190,1210,1170,1210,1190,1200,1,4,1,5,10,12,-2,14,1
7,0,,2,0,Aston Villa,9,15,10,AVL,3,,False,0,1150,1160,1150,1150,1180,1210,2,5,0,4,20,13,7,17,0
36,0,,3,0,Brighton,10,10,16,BHA,3,,False,0,1080,1100,1150,1180,1090,1100,131,2,4,4,14,16,-2,15,3
90,0,,4,0,Burnley,9,5,19,BUR,2,,False,0,1050,1080,1120,1190,1010,1030,43,1,2,6,4,17,-13,13,0
8,0,,5,0,Chelsea,10,19,3,CHE,4,,False,0,1260,1280,1240,1280,1270,1310,4,5,4,1,22,10,12,11,1
31,0,,6,0,Crystal Palace,10,13,15,CRY,3,,False,0,1110,1150,1100,1150,1020,1050,6,4,1,5,12,15,-3,14,1
11,0,,7,0,Everton,10,16,8,EVE,3,,False,0,1180,1210,1150,1170,1210,1250,7,5,1,4,19,17,2,16,2
54,0,,8,0,Fulham,10,7,17,FUL,2,,False,0,1000,1020,1020,1030,1020,1020,34,2,1,7,11,19,-8,22,1
13,0,,9,0,Leicester,10,18,4,LEI,4,,False,0,1220,1240,1190,1190,1200,1180,26,6,0,4,19,14,5,21,0
2,0,,10,0,Leeds,10,14,12,LEE,3,,False,0,1100,1130,1060,1110,1130,1160,9,4,2,4,15,17,-2,16,0
14,0,,11,0,Liverpool,10,21,2,LIV,5,,False,0,1320,1360,1240,1320,1330,1350,10,6,3,1,22,17,5,8,0
43,0,,12,0,Man City,9,15,11,MCI,5,,False,0,1310,1360,1260,1320,1330,1350,11,4,3,2,15,11,4,14,0
1,0,,13,0,Man Utd,9,16,9,MUN,4,,False,0,1230,1230,1220,1230,1250,1260,12,5,1,3,16,16,0,16,1
4,0,,14,0,Newcastle,10,14,13,NEW,3,,False,0,1100,1130,1100,1120,1010,1060,23,4,2,4,12,15,-3,21,0
49,0,,15,0,Sheffield Utd,10,1,20,SHU,3,,False,0,1070,1100,1110,1130,1010,1050,18,0,1,9,4,16,-12,14,1
20,0,,16,0,Southampton,10,17,6,SOU,3,,False,0,1150,1180,1140,1200,1110,1160,20,5,2,3,19,16,3,13,0
6,0,,17,0,Spurs,10,21,1,TOT,4,,False,0,1270,1280,1190,1240,1280,1320,21,6,3,1,21,9,12,12,0
35,0,,18,0,West Brom,10,6,18,WBA,2,,False,0,1010,1030,1020,1020,1000,1010,36,1,3,6,7,18,-11,11,1
21,0,,19,0,West Ham,10,17,5,WHU,3,,False,0,1140,1170,1150,1160,1170,1180,25,5,2,3,17,11,6,16,0
39,0,,20,0,Wolves,10,17,7,WOL,3,,False,0,1160,1190,1180,1220,1100,1170,38,5,2,3,11,11,0,13,0
