team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Arsenal,1,2020,1,6,11,9,8,4,0,0,1,0,1,3,0,3,True,Leicester
Leicester,9,2020,8,6,4,1,1,11,1,0,0,1,0,4,0,2,False,Arsenal
Aston Villa,2,2020,27,6,3,10,30,6,0,0,1,0,3,4,0,1,True,Leeds
Leeds,10,2020,30,6,6,2,27,3,1,0,0,3,0,3,1,2,False,Aston Villa
Brighton,3,2020,21,6,16,18,19,17,0,1,0,1,1,1,2,3,True,West Brom
West Brom,18,2020,19,6,17,3,21,16,0,1,0,1,1,0,3,3,False,Brighton
Burnley,4,2020,3,6,18,17,17,5,0,0,1,0,1,0,1,4,True,Spurs
Spurs,17,2020,17,6,5,4,3,18,1,0,0,1,0,3,2,1,False,Burnley
Fulham,8,2020,25,6,20,6,5,8,0,0,1,1,2,0,1,5,True,Crystal Palace
Crystal Palace,6,2020,5,6,8,8,25,20,1,0,0,2,1,3,1,2,False,Fulham
Liverpool,11,2020,9,6,2,15,29,19,1,0,0,2,1,4,1,1,True,Sheffield Utd
Sheffield Utd,15,2020,29,6,19,11,9,2,0,0,1,1,2,0,1,5,False,Liverpool
Man Utd,13,2020,11,6,15,5,4,10,0,1,0,0,0,2,1,2,True,Chelsea
Chelsea,5,2020,4,6,10,13,11,15,0,1,0,0,0,2,3,1,False,Man Utd
Southampton,16,2020,13,6,7,7,6,1,1,0,0,2,0,3,1,2,True,Everton
Everton,7,2020,6,6,1,16,13,7,0,0,1,0,2,4,1,1,False,Southampton
West Ham,19,2020,20,6,12,12,10,13,0,1,0,1,1,2,2,2,True,Man City
Man City,12,2020,10,6,13,19,20,12,0,1,0,1,1,2,2,1,False,West Ham
Wolves,20,2020,26,6,9,14,23,14,0,1,0,1,1,3,1,2,True,Newcastle
Newcastle,14,2020,23,6,14,20,26,9,0,1,0,1,1,2,2,2,False,Wolves
