code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,23,31,11,ARS,4,,False,0,1190,1210,1170,1210,1190,1200,1,9,4,10,27,23,4,35,5
7,0,,2,0,Aston Villa,21,35,9,AVL,3,,False,0,1150,1160,1150,1150,1180,1210,2,11,2,8,36,24,12,33,2
36,0,,3,0,Brighton,23,25,15,BHA,3,,False,0,1080,1100,1150,1180,1090,1100,131,5,10,8,25,30,-5,30,3
90,0,,4,0,Burnley,22,23,17,BUR,2,,False,0,1050,1080,1120,1190,1010,1030,43,6,5,11,14,29,-15,30,0
8,0,,5,0,Chelsea,23,39,5,CHE,4,,False,0,1260,1280,1240,1280,1270,1310,4,11,6,6,38,24,14,33,1
31,0,,6,0,Crystal Palace,23,29,13,CRY,3,,False,0,1110,1150,1100,1150,1020,1050,6,8,5,10,27,39,-12,31,2
11,0,,7,0,Everton,21,37,7,EVE,3,,False,0,1180,1210,1150,1170,1210,1250,7,11,4,6,34,28,6,38,2
54,0,,8,0,Fulham,22,15,18,FUL,2,,False,0,1000,1020,1020,1030,1020,1020,34,2,9,11,17,31,-14,42,3
13,0,,9,0,Leicester,23,43,3,LEI,4,,False,0,1220,1240,1190,1190,1200,1180,26,13,4,6,39,25,14,43,0
2,0,,10,0,Leeds,22,32,10,LEE,3,,False,0,1100,1130,1060,1110,1130,1160,9,10,2,10,38,38,0,33,0
14,0,,11,0,Liverpool,23,40,4,LIV,5,,False,0,1320,1360,1240,1320,1330,1350,10,11,7,5,44,29,15,25,0
43,0,,12,0,Man City,22,50,1,MCI,5,,False,0,1310,1360,1260,1320,1330,1350,11,15,5,2,43,14,29,24,0
1,0,,13,0,Man Utd,23,45,2,MUN,4,,False,0,1230,1230,1220,1230,1250,1260,12,13,6,4,49,30,19,38,1
4,0,,14,0,Newcastle,23,25,16,NEW,3,,False,0,1100,1130,1100,1120,1010,1060,23,7,4,12,25,38,-13,43,2
49,0,,15,0,Sheffield Utd,23,11,20,SHU,3,,False,0,1070,1100,1110,1130,1010,1050,18,3,2,18,15,37,-22,44,2
20,0,,16,0,Southampton,22,29,12,SOU,3,,False,0,1150,1180,1140,1200,1110,1160,20,8,5,9,29,37,-8,33,2
6,0,,17,0,Spurs,22,36,8,TOT,4,,False,0,1270,1280,1190,1240,1280,1320,21,10,6,6,36,22,14,27,1
35,0,,18,0,West Brom,23,12,19,WBA,2,,False,0,1010,1030,1020,1020,1000,1010,36,2,6,15,18,54,-36,30,3
21,0,,19,0,West Ham,23,39,6,WHU,3,,False,0,1140,1170,1150,1160,1170,1180,25,11,6,6,34,28,6,27,1
39,0,,20,0,Wolves,23,27,14,WOL,3,,False,0,1160,1190,1180,1220,1100,1170,38,7,6,10,23,31,-8,36,1
