assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,name_first,name_last,name,season,element_type,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc
0,0,0,0,0.0,1,119,0,0,0.0,0.0,2020-12-16T18:00:00Z,0,16,0,0,0,0,13,0,43855,1,1,0.0,0,-238,8,246,68,True,0,Mesut,Özil,Mesut_Özil,2020,3,1.0,14,4,2,7,11,16,-5,13,20,3,15,7,5,23,7,2,4,23,18,5,13,21,2
0,0,0,0,0.0,2,119,0,0,0.0,0.0,2020-12-16T18:00:00Z,0,16,0,0,0,0,13,0,5014,1,1,0.0,0,-37,7,44,48,True,0,Sokratis,Papastathopoulos,Sokratis_Papastathopoulos,2020,2,1.0,14,4,2,7,11,16,-5,13,20,3,15,7,5,23,7,2,4,23,18,5,13,21,2
0,0,4,0,0.0,3,119,0,0,0.5,5.2,2020-12-16T18:00:00Z,25,16,0,0,0,0,13,0,58844,1,1,0.0,1,-1763,40,1803,55,True,0,David,Luiz Moreira Marinho,David_Luiz Moreira Marinho,2020,2,1.0,14,4,2,7,11,16,-5,13,20,3,15,7,5,23,7,2,4,23,18,5,13,21,2
0,3,24,0,11.9,4,119,1,1,7.7,37.8,2020-12-16T18:00:00Z,90,16,0,0,0,0,13,0,650088,1,1,27.0,10,-52013,4169,56182,115,True,0,Pierre-Emerick,Aubameyang,Pierre-Emerick_Aubameyang,2020,3,1.0,14,4,2,7,11,16,-5,13,20,3,15,7,5,23,7,2,4,23,18,5,13,21,2
0,0,3,0,0.0,5,119,0,0,0.0,0.0,2020-12-16T18:00:00Z,5,16,0,0,0,0,13,0,12905,1,1,0.0,1,-155,152,307,46,True,0,Cédric,Soares,Cédric_Soares,2020,2,1.0,14,4,2,7,11,16,-5,13,20,3,15,7,5,23,7,2,4,23,18,5,13,21,2
0,0,0,0,0.0,6,119,0,0,0.0,0.0,2020-12-16T18:00:00Z,0,16,0,0,0,0,13,0,199418,1,1,0.0,0,-7281,2375,9656,83,True,0,Alexandre,Lacazette,Alexandre_Lacazette,2020,4,1.0,14,4,2,7,11,16,-5,13,20,3,15,7,5,23,7,2,4,23,18,5,13,21,2
0,0,0,0,0.0,7,119,0,0,0.0,0.0,2020-12-16T18:00:00Z,0,16,0,0,0,0,13,0,3291,1,1,0.0,0,-45,142,187,50,True,0,Shkodran,Mustafi,Shkodran_Mustafi,2020,2,1.0,14,4,2,7,11,16,-5,13,20,3,15,7,5,23,7,2,4,23,18,5,13,21,2
0,0,14,0,0.0,8,119,1,0,1.5,14.6,2020-12-16T18:00:00Z,90,16,0,0,0,0,13,2,610828,1,1,0.0,2,-33577,2735,36312,50,True,0,Bernd,Leno,Bernd_Leno,2020,1,1.0,14,4,2,7,11,16,-5,13,20,3,15,7,5,23,7,2,4,23,18,5,13,21,2
0,0,0,0,0.0,9,119,0,0,0.0,0.0,2020-12-16T18:00:00Z,0,16,0,0,0,0,13,0,32282,1,1,0.0,0,-2201,150,2351,52,True,0,Granit,Xhaka,Granit_Xhaka,2020,3,1.0,14,4,2,7,11,16,-5,13,20,3,15,7,5,23,7,2,4,23,18,5,13,21,2
0,0,0,0,0.0,10,119,0,0,0.0,0.0,2020-12-16T18:00:00Z,0,16,0,0,0,0,13,0,989,1,1,0.0,0,-4,69,73,44,True,0,Pablo,Marí,Pablo_Marí,2020,2,1.0,14,4,2,7,11,16,-5,13,20,3,15,7,5,23,7,2,4,23,18,5,13,21,2
