assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,name_first,name_last,name,season,element_type,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc
0,0,0,0,0.0,1,199,0,0,0.0,0.0,2021-01-30T17:30:00Z,0,13,0,0,0,0,21,0,42545,0,0,0.0,0,-103,0,103,67,True,0,Mesut,Özil,Mesut_Özil,2020,3,1.0,31,9,4,8,26,20,6,21,31,3,10,20,14,23,6,5,10,21,30,-9,21,32,1
0,0,0,0,0.0,2,199,0,0,0.0,0.0,2021-01-30T17:30:00Z,0,13,0,0,0,0,21,0,4786,0,0,0.0,0,-16,0,16,48,True,0,Sokratis,Papastathopoulos,Sokratis_Papastathopoulos,2020,2,1.0,31,9,4,8,26,20,6,21,31,3,10,20,14,23,6,5,10,21,30,-9,21,32,1
0,0,26,1,0.8,3,199,0,0,4.5,13.8,2021-01-30T17:30:00Z,90,13,0,0,0,0,21,0,60191,0,0,30.0,6,-150,900,1050,54,True,0,David,Luiz Moreira Marinho,David_Luiz Moreira Marinho,2020,2,1.0,31,9,4,8,26,20,6,21,31,3,10,20,14,23,6,5,10,21,30,-9,21,32,1
0,0,0,0,0.0,4,199,0,0,0.0,0.0,2021-01-30T17:30:00Z,0,13,0,0,0,0,21,0,524991,0,0,0.0,0,-22681,1164,23845,113,True,0,Pierre-Emerick,Aubameyang,Pierre-Emerick_Aubameyang,2020,3,1.0,31,9,4,8,26,20,6,21,31,3,10,20,14,23,6,5,10,21,30,-9,21,32,1
0,0,18,1,10.8,5,199,0,0,2.0,8.6,2021-01-30T17:30:00Z,90,13,0,0,0,0,21,0,16187,0,0,1.0,5,1473,2215,742,46,True,1,Cédric,Soares,Cédric_Soares,2020,2,1.0,31,9,4,8,26,20,6,21,31,3,10,20,14,23,6,5,10,21,30,-9,21,32,1
0,0,2,1,1.1,6,199,0,0,1.3,0.0,2021-01-30T17:30:00Z,90,13,0,0,0,0,21,0,693962,0,0,12.0,2,196816,225624,28808,84,True,0,Alexandre,Lacazette,Alexandre_Lacazette,2020,4,1.0,31,9,4,8,26,20,6,21,31,3,10,20,14,23,6,5,10,21,30,-9,21,32,1
0,0,0,0,0.0,7,199,0,0,0.0,0.0,2021-01-30T17:30:00Z,0,13,0,0,0,0,21,0,4277,0,0,0.0,0,-71,72,143,50,True,0,Shkodran,Mustafi,Shkodran_Mustafi,2020,2,1.0,31,9,4,8,26,20,6,21,31,3,10,20,14,23,6,5,10,21,30,-9,21,32,1
0,0,25,1,0.0,8,199,0,0,2.6,26.2,2021-01-30T17:30:00Z,90,13,0,0,0,0,21,3,719531,0,0,0.0,7,-5667,20995,26662,50,True,0,Bernd,Leno,Bernd_Leno,2020,1,1.0,31,9,4,8,26,20,6,21,31,3,10,20,14,23,6,5,10,21,30,-9,21,32,1
0,0,14,1,3.8,9,199,0,0,3.0,9.6,2021-01-30T17:30:00Z,90,13,0,0,0,0,21,0,34338,0,0,17.0,3,-383,786,1169,52,True,0,Granit,Xhaka,Granit_Xhaka,2020,3,1.0,31,9,4,8,26,20,6,21,31,3,10,20,14,23,6,5,10,21,30,-9,21,32,1
0,0,0,0,0.0,10,199,0,0,0.0,0.0,2021-01-30T17:30:00Z,0,13,0,0,0,0,21,0,8524,0,0,0.0,0,-3070,50,3120,44,True,0,Pablo,Marí,Pablo_Marí,2020,2,1.0,31,9,4,8,26,20,6,21,31,3,10,20,14,23,6,5,10,21,30,-9,21,32,1
