code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,22,31,10,ARS,4,,False,0,1190,1210,1170,1210,1190,1200,1,9,4,9,27,22,5,33,5
7,0,,2,0,Aston Villa,20,32,9,AVL,3,,False,0,1150,1160,1150,1150,1180,1210,2,10,2,8,35,24,11,30,2
36,0,,3,0,Brighton,22,24,15,BHA,3,,False,0,1080,1100,1150,1180,1090,1100,131,5,9,8,24,29,-5,30,3
90,0,,4,0,Burnley,21,22,17,BUR,2,,False,0,1050,1080,1120,1190,1010,1030,43,6,4,11,13,28,-15,28,0
8,0,,5,0,Chelsea,22,36,6,CHE,4,,False,0,1260,1280,1240,1280,1270,1310,4,10,6,6,36,23,13,33,1
31,0,,6,0,Crystal Palace,22,29,13,CRY,3,,False,0,1110,1150,1100,1150,1020,1050,6,8,5,9,27,37,-10,29,2
11,0,,7,0,Everton,20,36,7,EVE,3,,False,0,1180,1210,1150,1170,1210,1250,7,11,3,6,31,25,6,37,2
54,0,,8,0,Fulham,21,14,18,FUL,2,,False,0,1000,1020,1020,1030,1020,1020,34,2,8,11,17,31,-14,41,3
13,0,,9,0,Leicester,22,42,3,LEI,4,,False,0,1220,1240,1190,1190,1200,1180,26,13,3,6,39,25,14,40,0
2,0,,10,0,Leeds,21,29,11,LEE,3,,False,0,1100,1130,1060,1110,1130,1160,9,9,2,10,36,38,-2,33,0
14,0,,11,0,Liverpool,22,40,4,LIV,5,,False,0,1320,1360,1240,1320,1330,1350,10,11,7,4,43,25,18,23,0
43,0,,12,0,Man City,21,47,1,MCI,5,,False,0,1310,1360,1260,1320,1330,1350,11,14,5,2,39,13,26,23,0
1,0,,13,0,Man Utd,22,44,2,MUN,4,,False,0,1230,1230,1220,1230,1250,1260,12,13,5,4,46,27,19,36,1
4,0,,14,0,Newcastle,22,22,16,NEW,3,,False,0,1100,1130,1100,1120,1010,1060,23,6,4,12,22,36,-14,41,1
49,0,,15,0,Sheffield Utd,22,11,20,SHU,3,,False,0,1070,1100,1110,1130,1010,1050,18,3,2,17,14,35,-21,43,2
20,0,,16,0,Southampton,21,29,12,SOU,3,,False,0,1150,1180,1140,1200,1110,1160,20,8,5,8,27,34,-7,32,2
6,0,,17,0,Spurs,21,33,8,TOT,4,,False,0,1270,1280,1190,1240,1280,1320,21,9,6,6,34,22,12,26,1
35,0,,18,0,West Brom,22,12,19,WBA,2,,False,0,1010,1030,1020,1020,1000,1010,36,2,6,14,18,52,-34,28,3
21,0,,19,0,West Ham,22,38,5,WHU,3,,False,0,1140,1170,1150,1160,1170,1180,25,11,5,6,34,28,6,24,0
39,0,,20,0,Wolves,22,26,14,WOL,3,,False,0,1160,1190,1180,1220,1100,1170,38,7,5,10,23,31,-8,35,1
