code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,12,13,15,ARS,4,,False,0,1190,1210,1170,1210,1190,1200,1,4,1,7,10,15,-5,18,2
7,0,,2,0,Aston Villa,10,18,10,AVL,3,,False,0,1150,1160,1150,1150,1180,1210,2,6,0,4,21,13,8,22,1
36,0,,3,0,Brighton,12,10,16,BHA,3,,False,0,1080,1100,1150,1180,1090,1100,131,2,4,6,15,21,-6,19,3
90,0,,4,0,Burnley,11,9,17,BUR,2,,False,0,1050,1080,1120,1190,1010,1030,43,2,3,6,6,18,-12,14,0
8,0,,5,0,Chelsea,12,22,5,CHE,4,,False,0,1260,1280,1240,1280,1270,1310,4,6,4,2,25,12,13,14,1
31,0,,6,0,Crystal Palace,12,17,11,CRY,3,,False,0,1110,1150,1100,1150,1020,1050,6,5,2,5,18,17,1,17,1
11,0,,7,0,Everton,12,20,7,EVE,3,,False,0,1180,1210,1150,1170,1210,1250,7,6,2,4,21,18,3,18,2
54,0,,8,0,Fulham,12,8,18,FUL,2,,False,0,1000,1020,1020,1030,1020,1020,34,2,2,8,12,22,-10,25,1
13,0,,9,0,Leicester,12,24,3,LEI,4,,False,0,1220,1240,1190,1190,1200,1180,26,8,0,4,24,15,9,26,0
2,0,,10,0,Leeds,12,14,14,LEE,3,,False,0,1100,1130,1060,1110,1130,1160,9,4,2,6,17,22,-5,19,0
14,0,,11,0,Liverpool,12,25,2,LIV,5,,False,0,1320,1360,1240,1320,1330,1350,10,7,4,1,27,18,9,10,0
43,0,,12,0,Man City,11,19,9,MCI,5,,False,0,1310,1360,1260,1320,1330,1350,11,5,4,2,17,11,6,15,0
1,0,,13,0,Man Utd,11,20,8,MUN,4,,False,0,1230,1230,1220,1230,1250,1260,12,6,2,3,19,17,2,17,1
4,0,,14,0,Newcastle,11,17,12,NEW,3,,False,0,1100,1130,1100,1120,1010,1060,23,5,2,4,14,16,-2,23,0
49,0,,15,0,Sheffield Utd,12,1,20,SHU,3,,False,0,1070,1100,1110,1130,1010,1050,18,0,1,11,5,21,-16,16,1
20,0,,16,0,Southampton,12,23,4,SOU,3,,False,0,1150,1180,1140,1200,1110,1160,20,7,2,3,24,17,7,16,0
6,0,,17,0,Spurs,12,25,1,TOT,4,,False,0,1270,1280,1190,1240,1280,1320,21,7,4,1,24,10,14,14,0
35,0,,18,0,West Brom,12,6,19,WBA,2,,False,0,1010,1030,1020,1020,1000,1010,36,1,3,8,9,25,-16,16,2
21,0,,19,0,West Ham,12,20,6,WHU,3,,False,0,1140,1170,1150,1160,1170,1180,25,6,2,4,20,15,5,18,0
39,0,,20,0,Wolves,12,17,13,WOL,3,,False,0,1160,1190,1180,1220,1100,1170,38,5,2,5,11,16,-5,16,1
