assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,name_first,name_last,name,season,element_type,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc
0,0,0,0,0.0,1,49,0,0,0.0,0.0,2020-10-25T19:15:00Z,0,9,0,0,0,0,6,0,51023,1,0,0.0,0,-3184,276,3460,68,True,0,Mesut,Özil,Mesut_Özil,2020,3,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,0,0,0.0,2,49,0,0,0.0,0.0,2020-10-25T19:15:00Z,0,9,0,0,0,0,6,0,6429,1,0,0.0,0,-392,182,574,49,True,0,Sokratis,Papastathopoulos,Sokratis_Papastathopoulos,2020,2,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,12,0,2.5,3,49,0,0,1.3,8.8,2020-10-25T19:15:00Z,48,9,0,0,0,0,6,0,79892,1,0,2.0,1,2396,6821,4425,55,True,0,David,Luiz Moreira Marinho,David_Luiz Moreira Marinho,2020,2,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,12,0,16.0,4,49,1,0,3.5,6.6,2020-10-25T19:15:00Z,90,9,0,0,0,0,6,0,1193283,1,0,12.0,2,-235512,14819,250331,118,True,0,Pierre-Emerick,Aubameyang,Pierre-Emerick_Aubameyang,2020,3,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,0,0,0.0,5,49,0,0,0.0,0.0,2020-10-25T19:15:00Z,0,9,0,0,0,0,6,0,15289,1,0,0.0,0,-1068,280,1348,48,True,0,Cédric,Soares,Cédric_Soares,2020,2,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,-3,0,21.4,6,49,1,0,7.0,2.4,2020-10-25T19:15:00Z,90,9,0,0,0,0,6,0,290288,1,0,46.0,1,-55111,7838,62949,85,True,1,Alexandre,Lacazette,Alexandre_Lacazette,2020,4,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,9,0,1.0,7,49,1,0,0.9,7.6,2020-10-25T19:15:00Z,41,9,0,0,0,0,6,0,1197,1,0,0.0,1,78,155,77,50,True,0,Shkodran,Mustafi,Shkodran_Mustafi,2020,2,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,11,0,0.0,8,49,1,0,1.2,12.0,2020-10-25T19:15:00Z,90,9,0,0,0,0,6,1,693944,1,0,0.0,2,-6968,29541,36509,50,True,0,Bernd,Leno,Bernd_Leno,2020,1,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,5,0,4.7,9,49,1,0,2.7,14.0,2020-10-25T19:15:00Z,90,9,0,0,0,0,6,0,44236,1,0,8.0,1,-3447,953,4400,54,True,1,Granit,Xhaka,Granit_Xhaka,2020,3,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,0,0,0.0,10,49,0,0,0.0,0.0,2020-10-25T19:15:00Z,0,9,0,0,0,0,6,0,630,1,0,0.0,0,-19,53,72,44,True,0,Pablo,Marí,Pablo_Marí,2020,2,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,8,0,4.1,11,49,1,0,3.2,6.6,2020-10-25T19:15:00Z,90,9,0,0,0,0,6,0,430008,1,0,21.0,1,21627,47560,25933,50,True,1,Héctor,Bellerín,Héctor_Bellerín,2020,2,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,22,0,0.0,12,50,3,0,5.2,51.8,2020-10-23T19:00:00Z,90,10,0,0,0,0,6,6,1890748,3,0,0.0,3,373882,389263,15381,48,True,0,Emiliano,Martínez,Emiliano_Martínez,2020,1,2.0,12,4,0,1,12,5,7,5,13,0,3,16,7,10,3,1,2,10,9,1,6,9,0
0,0,0,0,0.0,13,49,0,0,0.0,0.0,2020-10-25T19:15:00Z,0,9,0,0,0,0,6,0,935,1,0,0.0,0,-30,30,60,45,True,0,Calum,Chambers,Calum_Chambers,2020,2,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,0,0,0.0,14,49,0,0,0.0,0.0,2020-10-25T19:15:00Z,0,9,0,0,0,0,6,0,14538,1,0,0.0,0,-1107,299,1406,48,True,0,Sead,Kolasinac,Sead_Kolasinac,2020,2,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,0,0,0.0,15,49,0,0,0.0,0.0,2020-10-25T19:15:00Z,0,9,0,0,0,0,6,0,97620,1,0,0.0,0,-11089,1972,13061,49,True,0,Ainsley,Maitland-Niles,Ainsley_Maitland-Niles,2020,2,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,0,0,0.0,16,49,0,0,0.0,0.0,2020-10-25T19:15:00Z,0,9,0,0,0,0,6,0,123830,1,0,0.0,0,-40959,648,41607,45,True,0,Rob,Holding,Rob_Holding,2020,2,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
0,0,13,0,31.3,17,49,1,0,4.8,10.8,2020-10-25T19:15:00Z,80,9,0,0,0,0,6,0,400394,1,0,6.0,2,-17548,7930,25478,54,True,0,Kieran,Tierney,Kieran_Tierney,2020,2,1.0,9,3,0,3,8,7,1,6,9,0,11,13,15,7,2,1,2,9,12,-3,5,10,1
