code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,20,30,9,ARS,4,,False,0,1190,1210,1170,1210,1190,1200,1,9,3,8,26,20,6,30,3
7,0,,2,0,Aston Villa,18,29,10,AVL,3,,False,0,1150,1160,1150,1150,1180,1210,2,9,2,7,33,21,12,29,2
36,0,,3,0,Brighton,20,18,17,BHA,3,,False,0,1080,1100,1150,1180,1090,1100,131,3,9,8,22,29,-7,28,3
90,0,,4,0,Burnley,19,22,15,BUR,2,,False,0,1050,1080,1120,1190,1010,1030,43,6,4,9,13,24,-11,25,0
8,0,,5,0,Chelsea,20,30,8,CHE,4,,False,0,1260,1280,1240,1280,1270,1310,4,8,6,6,33,23,10,30,1
31,0,,6,0,Crystal Palace,20,23,14,CRY,3,,False,0,1110,1150,1100,1150,1020,1050,6,6,5,9,24,36,-12,25,2
11,0,,7,0,Everton,18,33,7,EVE,3,,False,0,1180,1210,1150,1170,1210,1250,7,10,3,5,29,22,7,31,2
54,0,,8,0,Fulham,19,13,18,FUL,2,,False,0,1000,1020,1020,1030,1020,1020,34,2,7,10,15,27,-12,38,3
13,0,,9,0,Leicester,20,39,3,LEI,4,,False,0,1220,1240,1190,1190,1200,1180,26,12,3,5,36,22,14,39,0
2,0,,10,0,Leeds,19,26,12,LEE,3,,False,0,1100,1130,1060,1110,1130,1160,9,8,2,9,32,35,-3,28,0
14,0,,11,0,Liverpool,20,37,4,LIV,5,,False,0,1320,1360,1240,1320,1330,1350,10,10,7,3,40,23,17,22,0
43,0,,12,0,Man City,19,41,1,MCI,5,,False,0,1310,1360,1260,1320,1330,1350,11,12,5,2,36,13,23,22,0
1,0,,13,0,Man Utd,20,40,2,MUN,4,,False,0,1230,1230,1220,1230,1250,1260,12,12,4,4,37,27,10,31,1
4,0,,14,0,Newcastle,20,19,16,NEW,3,,False,0,1100,1130,1100,1120,1010,1060,23,5,4,11,19,34,-15,36,1
49,0,,15,0,Sheffield Utd,20,8,20,SHU,3,,False,0,1070,1100,1110,1130,1010,1050,18,2,2,16,12,33,-21,38,2
20,0,,16,0,Southampton,19,29,11,SOU,3,,False,0,1150,1180,1140,1200,1110,1160,20,8,5,6,27,24,3,28,0
6,0,,17,0,Spurs,19,33,6,TOT,4,,False,0,1270,1280,1190,1240,1280,1320,21,9,6,4,34,20,14,23,1
35,0,,18,0,West Brom,20,11,19,WBA,2,,False,0,1010,1030,1020,1020,1000,1010,36,2,5,13,15,48,-33,26,3
21,0,,19,0,West Ham,20,35,5,WHU,3,,False,0,1140,1170,1150,1160,1170,1180,25,10,5,5,30,24,6,21,0
39,0,,20,0,Wolves,20,23,13,WOL,3,,False,0,1160,1190,1180,1220,1100,1170,38,6,5,9,21,29,-8,30,1
