code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,19,27,11,ARS,4,,False,0,1190,1210,1170,1210,1190,1200,1,8,3,8,23,19,4,28,3
7,0,,2,0,Aston Villa,17,29,8,AVL,3,,False,0,1150,1160,1150,1150,1180,1210,2,9,2,6,31,18,13,29,2
36,0,,3,0,Brighton,19,17,17,BHA,3,,False,0,1080,1100,1150,1180,1090,1100,131,3,8,8,22,29,-7,26,3
90,0,,4,0,Burnley,18,19,15,BUR,2,,False,0,1050,1080,1120,1190,1010,1030,43,5,4,9,10,22,-12,24,0
8,0,,5,0,Chelsea,19,29,9,CHE,4,,False,0,1260,1280,1240,1280,1270,1310,4,8,5,6,33,23,10,29,1
31,0,,6,0,Crystal Palace,19,23,13,CRY,3,,False,0,1110,1150,1100,1150,1020,1050,6,6,5,8,22,33,-11,25,2
11,0,,7,0,Everton,17,32,6,EVE,3,,False,0,1180,1210,1150,1170,1210,1250,7,10,2,5,28,21,7,30,2
54,0,,8,0,Fulham,18,12,18,FUL,2,,False,0,1000,1020,1020,1030,1020,1020,34,2,6,10,15,27,-12,37,3
13,0,,9,0,Leicester,19,38,3,LEI,4,,False,0,1220,1240,1190,1190,1200,1180,26,12,2,5,35,21,14,38,0
2,0,,10,0,Leeds,18,23,12,LEE,3,,False,0,1100,1130,1060,1110,1130,1160,9,7,2,9,30,34,-4,25,0
14,0,,11,0,Liverpool,19,34,4,LIV,5,,False,0,1320,1360,1240,1320,1330,1350,10,9,7,3,37,22,15,20,0
43,0,,12,0,Man City,18,38,2,MCI,5,,False,0,1310,1360,1260,1320,1330,1350,11,11,5,2,31,13,18,22,0
1,0,,13,0,Man Utd,19,40,1,MUN,4,,False,0,1230,1230,1220,1230,1250,1260,12,12,4,3,36,25,11,30,1
4,0,,14,0,Newcastle,19,19,16,NEW,3,,False,0,1100,1130,1100,1120,1010,1060,23,5,4,10,18,32,-14,35,1
49,0,,15,0,Sheffield Utd,19,5,20,SHU,3,,False,0,1070,1100,1110,1130,1010,1050,18,1,2,16,10,32,-22,37,2
20,0,,16,0,Southampton,18,29,10,SOU,3,,False,0,1150,1180,1140,1200,1110,1160,20,8,5,5,26,21,5,27,0
6,0,,17,0,Spurs,18,33,5,TOT,4,,False,0,1270,1280,1190,1240,1280,1320,21,9,6,3,33,17,16,22,1
35,0,,18,0,West Brom,19,11,19,WBA,2,,False,0,1010,1030,1020,1020,1000,1010,36,2,5,12,15,43,-28,24,3
21,0,,19,0,West Ham,19,32,7,WHU,3,,False,0,1140,1170,1150,1160,1170,1180,25,9,5,5,27,22,5,21,0
39,0,,20,0,Wolves,19,22,14,WOL,3,,False,0,1160,1190,1180,1220,1100,1170,38,6,4,9,21,29,-8,29,1
