code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,21,31,10,ARS,4,,False,0,1190,1210,1170,1210,1190,1200,1,9,4,8,26,20,6,31,3
7,0,,2,0,Aston Villa,19,32,9,AVL,3,,False,0,1150,1160,1150,1150,1180,1210,2,10,2,7,34,21,13,29,2
36,0,,3,0,Brighton,21,21,17,BHA,3,,False,0,1080,1100,1150,1180,1090,1100,131,4,9,8,23,29,-6,30,3
90,0,,4,0,Burnley,20,22,16,BUR,2,,False,0,1050,1080,1120,1190,1010,1030,43,6,4,10,13,26,-13,26,0
8,0,,5,0,Chelsea,21,33,7,CHE,4,,False,0,1260,1280,1240,1280,1270,1310,4,9,6,6,35,23,12,30,1
31,0,,6,0,Crystal Palace,21,26,13,CRY,3,,False,0,1110,1150,1100,1150,1020,1050,6,7,5,9,25,36,-11,26,2
11,0,,7,0,Everton,19,33,8,EVE,3,,False,0,1180,1210,1150,1170,1210,1250,7,10,3,6,29,24,5,34,2
54,0,,8,0,Fulham,20,14,18,FUL,2,,False,0,1000,1020,1020,1030,1020,1020,34,2,8,10,17,29,-12,38,3
13,0,,9,0,Leicester,21,39,4,LEI,4,,False,0,1220,1240,1190,1190,1200,1180,26,12,3,6,37,25,12,39,0
2,0,,10,0,Leeds,20,29,12,LEE,3,,False,0,1100,1130,1060,1110,1130,1160,9,9,2,9,35,36,-1,31,0
14,0,,11,0,Liverpool,21,40,3,LIV,5,,False,0,1320,1360,1240,1320,1330,1350,10,11,7,3,43,24,19,22,0
43,0,,12,0,Man City,20,44,1,MCI,5,,False,0,1310,1360,1260,1320,1330,1350,11,13,5,2,37,13,24,22,0
1,0,,13,0,Man Utd,21,41,2,MUN,4,,False,0,1230,1230,1220,1230,1250,1260,12,12,5,4,37,27,10,34,1
4,0,,14,0,Newcastle,21,22,15,NEW,3,,False,0,1100,1130,1100,1120,1010,1060,23,6,4,11,21,34,-13,40,1
49,0,,15,0,Sheffield Utd,21,8,20,SHU,3,,False,0,1070,1100,1110,1130,1010,1050,18,2,2,17,12,34,-22,41,2
20,0,,16,0,Southampton,20,29,11,SOU,3,,False,0,1150,1180,1140,1200,1110,1160,20,8,5,7,27,25,2,29,0
6,0,,17,0,Spurs,20,33,6,TOT,4,,False,0,1270,1280,1190,1240,1280,1320,21,9,6,5,34,21,13,24,1
35,0,,18,0,West Brom,21,12,19,WBA,2,,False,0,1010,1030,1020,1020,1000,1010,36,2,6,13,17,50,-33,27,3
21,0,,19,0,West Ham,21,35,5,WHU,3,,False,0,1140,1170,1150,1160,1170,1180,25,10,5,6,31,27,4,23,0
39,0,,20,0,Wolves,21,23,14,WOL,3,,False,0,1160,1190,1180,1220,1100,1170,38,6,5,10,21,30,-9,32,1
