code,draw,form,id,loss,name,played,points,position,pulse_id,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,37,53,10,1,ARS,4,1170,1170,1200,1150,1240,1180,,False,0,13,14,10,53,46,7,84,5
7,0,,2,0,Aston Villa,37,34,17,2,AVL,2,980,970,1040,1000,1050,1020,,False,0,9,7,21,40,66,-26,67,1
91,0,,3,0,Bournemouth,37,31,19,127,BOU,2,1030,990,1050,1000,1020,1020,,False,0,8,7,22,37,64,-27,73,3
36,0,,4,0,Brighton,37,38,16,131,BHA,2,1100,1100,1030,1040,1010,1050,,False,0,8,14,15,37,53,-16,57,2
90,0,,5,0,Burnley,37,54,9,43,BUR,3,1070,1130,1110,970,1180,1110,,False,0,15,9,13,42,48,-6,64,0
8,0,,6,0,Chelsea,37,63,4,4,CHE,4,1240,1240,1250,1220,1230,1220,,False,0,19,6,12,67,54,13,58,0
31,0,,7,0,Crystal Palace,37,42,14,6,CRY,3,1180,1080,1040,1040,1120,1130,,False,0,11,9,17,30,49,-19,59,2
11,0,,8,0,Everton,37,49,11,7,EVE,3,1210,1100,1180,1170,1240,1100,,False,0,13,10,14,43,53,-10,69,3
13,0,,9,0,Leicester,37,62,5,26,LEI,3,1080,1150,1100,1210,1160,1210,,False,0,18,8,11,67,39,28,42,2
14,0,,10,0,Liverpool,37,96,1,10,LIV,5,1320,1310,1330,1310,1350,1340,,False,0,31,3,3,82,32,50,38,1
43,0,,11,0,Man City,37,78,2,11,MCI,5,1270,1260,1320,1320,1340,1330,,False,0,25,3,9,97,35,62,59,4
1,0,,12,0,Man Utd,37,63,3,12,MUN,4,1330,1260,1260,1180,1300,1220,,False,0,17,12,8,64,36,28,68,0
4,0,,13,0,Newcastle,37,44,13,23,NEW,3,1040,1030,990,980,1100,1090,,False,0,11,11,15,37,55,-18,70,3
45,0,,14,0,Norwich,37,21,20,14,NOR,2,1040,1030,990,990,1020,980,,False,0,5,6,26,26,70,-44,67,3
49,0,,15,0,Sheffield Utd,37,54,8,18,SHU,3,1180,1170,1110,1050,1200,1180,,False,0,14,12,11,38,36,2,60,2
20,0,,16,0,Southampton,37,49,12,20,SOU,3,1050,1080,1080,1110,1040,1150,,False,0,14,7,16,48,59,-11,52,4
6,0,,17,0,Spurs,37,58,7,21,TOT,4,1130,1100,1140,1200,1240,1180,,False,0,16,10,11,60,46,14,75,3
57,0,,18,0,Watford,37,34,18,33,WAT,3,1120,1120,1150,1020,1140,1030,,False,0,8,10,19,34,61,-27,73,3
21,0,,19,0,West Ham,37,38,15,25,WHU,2,1030,1000,1150,1030,1030,1040,,False,0,10,8,19,48,61,-13,60,1
39,0,,20,0,Wolves,37,59,6,38,WOL,4,1230,1180,1200,1200,1190,1230,,False,0,15,14,8,51,38,13,52,2
