code,draw,form,id,loss,name,played,points,position,pulse_id,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,21,27,10,1,ARS,4,1170,1170,1200,1150,1240,1180,,False,0,6,9,6,28,30,-2,53,1
7,0,,2,0,Aston Villa,21,21,17,2,AVL,2,980,970,1040,1000,1050,1020,,False,0,6,3,12,27,37,-10,36,1
91,0,,3,0,Bournemouth,21,20,18,127,BOU,2,1030,990,1050,1000,1020,1020,,False,0,5,5,11,20,32,-12,43,1
36,0,,4,0,Brighton,21,24,14,131,BHA,2,1100,1100,1030,1040,1010,1050,,False,0,6,6,9,25,29,-4,30,2
90,0,,5,0,Burnley,21,24,15,43,BUR,3,1070,1130,1110,970,1180,1110,,False,0,7,3,11,24,34,-10,37,0
8,0,,6,0,Chelsea,21,36,4,4,CHE,4,1240,1240,1250,1220,1230,1220,,False,0,11,3,7,36,29,7,40,0
31,0,,7,0,Crystal Palace,21,28,9,6,CRY,3,1180,1080,1040,1040,1120,1130,,False,0,7,7,7,19,23,-4,32,1
11,0,,8,0,Everton,21,25,11,7,EVE,3,1210,1100,1180,1170,1240,1100,,False,0,7,4,10,24,32,-8,39,2
13,0,,9,0,Leicester,21,45,2,26,LEI,3,1080,1150,1100,1210,1160,1210,,False,0,14,3,4,46,19,27,24,0
14,0,,10,0,Liverpool,20,58,1,10,LIV,5,1320,1310,1330,1310,1350,1340,,False,0,19,1,0,49,14,35,20,1
43,0,,11,0,Man City,21,44,3,11,MCI,5,1270,1260,1320,1320,1340,1330,,False,0,14,2,5,56,24,32,39,2
1,0,,12,0,Man Utd,21,31,5,12,MUN,4,1330,1260,1260,1180,1300,1220,,False,0,8,7,6,32,25,7,41,0
4,0,,13,0,Newcastle,21,25,13,23,NEW,3,1040,1030,990,980,1100,1090,,False,0,7,4,10,20,33,-13,37,2
45,0,,14,0,Norwich,21,14,20,14,NOR,2,1040,1030,990,990,1020,980,,False,0,3,5,13,22,41,-19,44,0
49,0,,15,0,Sheffield Utd,21,29,8,18,SHU,3,1180,1170,1110,1050,1200,1180,,False,0,7,8,6,23,21,2,40,1
20,0,,16,0,Southampton,21,25,12,20,SOU,3,1050,1080,1080,1110,1040,1150,,False,0,7,4,10,25,38,-13,28,2
6,0,,17,0,Spurs,21,30,6,21,TOT,4,1130,1100,1140,1200,1240,1180,,False,0,8,6,7,36,30,6,44,3
57,0,,18,0,Watford,21,19,19,33,WAT,3,1120,1120,1150,1020,1140,1030,,False,0,4,7,10,17,34,-17,47,3
21,0,,19,0,West Ham,20,22,16,25,WHU,2,1030,1000,1150,1030,1030,1040,,False,0,6,4,10,25,32,-7,41,1
39,0,,20,0,Wolves,21,30,7,38,WOL,4,1230,1180,1200,1200,1190,1230,,False,0,7,9,5,30,27,3,33,2
