code,draw,form,id,loss,name,played,points,position,pulse_id,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,35,50,9,1,ARS,4,1170,1170,1200,1150,1240,1180,,False,0,12,14,9,51,44,7,77,5
7,0,,2,0,Aston Villa,35,30,19,2,AVL,2,980,970,1040,1000,1050,1020,,False,0,8,6,21,38,65,-27,64,1
91,0,,3,0,Bournemouth,35,31,18,127,BOU,2,1030,990,1050,1000,1020,1020,,False,0,8,7,20,36,60,-24,70,3
36,0,,4,0,Brighton,35,36,15,131,BHA,2,1100,1100,1030,1040,1010,1050,,False,0,8,12,15,36,52,-16,53,2
90,0,,5,0,Burnley,35,50,10,43,BUR,3,1070,1130,1110,970,1180,1110,,False,0,14,8,13,39,47,-8,64,0
8,0,,6,0,Chelsea,35,60,3,4,CHE,4,1240,1240,1250,1220,1230,1220,,False,0,18,6,11,63,49,14,56,0
31,0,,7,0,Crystal Palace,35,42,14,6,CRY,3,1180,1080,1040,1040,1120,1130,,False,0,11,9,15,30,45,-15,57,2
11,0,,8,0,Everton,35,45,11,7,EVE,3,1210,1100,1180,1170,1240,1100,,False,0,12,9,14,41,52,-11,64,3
13,0,,9,0,Leicester,35,59,4,26,LEI,3,1080,1150,1100,1210,1160,1210,,False,0,17,8,10,65,36,29,40,2
14,0,,10,0,Liverpool,35,93,1,10,LIV,5,1320,1310,1330,1310,1350,1340,,False,0,30,3,2,76,27,49,36,1
43,0,,11,0,Man City,35,72,2,11,MCI,5,1270,1260,1320,1320,1340,1330,,False,0,23,3,9,91,34,57,58,4
1,0,,12,0,Man Utd,35,59,5,12,MUN,4,1330,1260,1260,1180,1300,1220,,False,0,16,11,8,61,35,26,63,0
4,0,,13,0,Newcastle,35,43,13,23,NEW,3,1040,1030,990,980,1100,1090,,False,0,11,10,14,36,52,-16,66,3
45,0,,14,0,Norwich,35,21,20,14,NOR,2,1040,1030,990,990,1020,980,,False,0,5,6,24,26,67,-41,65,1
49,0,,15,0,Sheffield Utd,35,54,7,18,SHU,3,1180,1170,1110,1050,1200,1180,,False,0,14,12,9,38,33,5,57,2
20,0,,16,0,Southampton,35,45,12,20,SOU,3,1050,1080,1080,1110,1040,1150,,False,0,13,6,16,45,58,-13,49,4
6,0,,17,0,Spurs,35,52,8,21,TOT,4,1130,1100,1140,1200,1240,1180,,False,0,14,10,11,54,45,9,70,3
57,0,,18,0,Watford,35,34,17,33,WAT,3,1120,1120,1150,1020,1140,1030,,False,0,8,10,17,33,54,-21,69,3
21,0,,19,0,West Ham,35,34,16,25,WHU,2,1030,1000,1150,1030,1030,1040,,False,0,9,7,19,44,59,-15,59,1
39,0,,20,0,Wolves,35,55,6,38,WOL,4,1230,1180,1200,1200,1190,1230,,False,0,14,13,8,48,37,11,50,2
