name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,season,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc,name_first,name_last,element_type
Ederson_Santana de Moraes_212,0,0,-7,0,0.0,212,190,3,0,0.0,0.0,2019-12-27T19:45:00Z,11,20,0,0,0,1,19,0,992176,2,3,0.0,-3,-7890,8155,16045,60,False,0,11.0,38,12,2,5,52,23,29,19,38,2,3,2019,15,8,29,7,8,5,23,19,4,20,40,1,Ederson,Santana de Moraes,1
Xherdan_Shaqiri_194,0,0,0,0,0.0,194,186,0,0,0.0,0.0,2019-12-26T20:00:00Z,0,9,0,0,0,0,19,0,18405,4,0,0.0,0,26,401,375,63,False,0,10.0,52,17,1,0,46,14,32,18,19,1,1,2019,20,7,30,7,9,4,29,25,4,20,32,2,Xherdan,Shaqiri,3
Hugo_Lloris_340,0,0,0,0,0.0,340,189,0,0,0.0,0.0,2019-12-26T12:30:00Z,0,4,0,0,0,0,19,0,246863,1,2,0.0,0,-2496,55,2551,53,True,0,17.0,29,8,5,6,34,27,7,19,37,3,6,2019,14,20,13,3,4,13,21,40,-19,20,39,0,Hugo,Lloris,1
Cenk_Tosun_146,0,0,0,0,0.0,146,185,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,5,0,0,0,0,19,0,8031,0,1,0.0,0,-21,118,139,57,True,0,8.0,22,6,4,9,21,29,-8,19,33,2,13,2019,13,11,25,7,4,9,20,30,-10,20,36,2,Cenk,Tosun,4
Callum_Robinson_453,0,0,0,0,0.0,453,188,0,0,0.0,0.0,2019-12-26T15:00:00Z,0,18,0,0,0,0,19,0,20918,1,1,0.0,0,-637,173,810,51,True,0,15.0,29,7,8,4,23,17,6,19,39,1,7,2019,11,3,41,13,2,5,54,23,31,20,39,2,Callum,Robinson,3
Heung-Min_Son_342,0,0,0,0,0.0,342,189,0,0,0.0,0.0,2019-12-26T12:30:00Z,0,4,0,0,0,0,19,0,667759,1,2,0.0,0,-1017000,12073,1029073,99,True,0,17.0,29,8,5,6,34,27,7,19,37,3,6,2019,14,20,13,3,4,13,21,40,-19,20,39,0,Heung-Min,Son,3
João Filipe Iria_Santos Moutinho_415,0,0,24,0,76.2,415,190,2,0,10.6,22.4,2019-12-27T19:45:00Z,90,11,0,0,0,0,19,0,414502,2,3,7.0,2,-1219,21458,22677,54,True,0,20.0,30,7,9,3,29,24,5,19,32,2,5,2019,10,1,55,18,1,0,47,14,33,19,20,1,João Filipe Iria,Santos Moutinho,3
Andrew_Robertson_181,0,1,39,1,38.2,181,186,0,0,7.3,31.0,2019-12-26T20:00:00Z,90,9,0,0,0,0,19,0,1404491,4,0,4.0,7,-21789,17376,39165,70,False,0,10.0,52,17,1,0,46,14,32,18,19,1,1,2019,20,7,30,7,9,4,29,25,4,20,32,2,Andrew,Robertson,2
Danny_Rose_332,0,0,0,0,0.0,332,189,0,0,0.0,0.0,2019-12-26T12:30:00Z,0,4,0,0,0,0,19,0,102936,1,2,0.0,0,-1083,726,1809,53,True,0,13.0,25,7,4,8,19,28,-9,19,34,2,10,2019,14,20,13,3,4,13,21,40,-19,20,39,0,Danny,Rose,2
Martin_Kelly_128,0,0,14,0,1.0,128,184,1,0,2.0,19.0,2019-12-26T15:00:00Z,90,19,0,0,0,0,19,0,2345404,1,2,0.0,2,55249,73748,18499,44,True,0,7.0,26,7,5,7,17,21,-4,19,30,1,9,2019,16,15,22,6,4,10,24,38,-14,20,25,2,Martin,Kelly,2
