code,draw,form,id,loss,name,played,points,position,pulse_id,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,28,40,9,1,ARS,4,1170,1170,1200,1150,1240,1180,,False,0,9,13,6,40,36,4,64,3
7,0,,2,0,Aston Villa,28,25,19,2,AVL,2,980,970,1040,1000,1050,1020,,False,0,7,4,17,34,56,-22,53,1
91,0,,3,0,Bournemouth,29,27,18,127,BOU,2,1030,990,1050,1000,1020,1020,,False,0,7,6,16,29,47,-18,56,3
36,0,,4,0,Brighton,29,29,15,131,BHA,2,1100,1100,1030,1040,1010,1050,,False,0,6,11,12,32,40,-8,45,2
90,0,,5,0,Burnley,29,39,10,43,BUR,3,1070,1130,1110,970,1180,1110,,False,0,11,6,12,34,40,-6,58,0
8,0,,6,0,Chelsea,29,48,4,4,CHE,4,1240,1240,1250,1220,1230,1220,,False,0,14,6,9,51,39,12,53,0
31,0,,7,0,Crystal Palace,29,39,11,6,CRY,3,1180,1080,1040,1040,1120,1130,,False,0,10,9,10,26,32,-6,48,1
11,0,,8,0,Everton,29,37,12,7,EVE,3,1210,1100,1180,1170,1240,1100,,False,0,10,7,12,37,46,-9,53,3
13,0,,9,0,Leicester,29,53,3,26,LEI,3,1080,1150,1100,1210,1160,1210,,False,0,16,5,8,58,28,30,33,1
14,0,,10,0,Liverpool,29,82,1,10,LIV,5,1320,1310,1330,1310,1350,1340,,False,0,27,1,1,66,21,45,26,1
43,0,,11,0,Man City,28,57,2,11,MCI,5,1270,1260,1320,1320,1340,1330,,False,0,18,3,7,68,31,37,51,3
1,0,,12,0,Man Utd,29,45,5,12,MUN,4,1330,1260,1260,1180,1300,1220,,False,0,12,9,8,44,30,14,56,0
4,0,,13,0,Newcastle,29,35,13,23,NEW,3,1040,1030,990,980,1100,1090,,False,0,9,8,12,25,41,-16,57,3
45,0,,14,0,Norwich,29,21,20,14,NOR,2,1040,1030,990,990,1020,980,,False,0,5,6,18,25,52,-27,53,1
49,0,,15,0,Sheffield Utd,28,43,7,18,SHU,3,1180,1170,1110,1050,1200,1180,,False,0,11,10,7,30,25,5,51,1
20,0,,16,0,Southampton,29,34,14,20,SOU,3,1050,1080,1080,1110,1040,1150,,False,0,10,4,15,35,52,-17,41,3
6,0,,17,0,Spurs,29,41,8,21,TOT,4,1130,1100,1140,1200,1240,1180,,False,0,11,8,10,47,40,7,58,3
57,0,,18,0,Watford,29,27,17,33,WAT,3,1120,1120,1150,1020,1140,1030,,False,0,6,9,14,27,44,-17,61,3
21,0,,19,0,West Ham,29,27,16,25,WHU,2,1030,1000,1150,1030,1030,1040,,False,0,7,6,16,35,50,-15,53,1
39,0,,20,0,Wolves,29,43,6,38,WOL,4,1230,1180,1200,1200,1190,1230,,False,0,10,13,6,41,34,7,43,2
