name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,season,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc,name_first,name_last,element_type
Aaron_Connolly_534,0,0,3,0,10.6,534,81,1,0,3.6,4.4,2019-10-19T14:00:00Z,45,2,0,0,0,0,9,0,110944,1,2,21.0,1,70802,81069,10267,45,False,0,4.0,9,2,3,4,9,12,-3,9,11,2,16,2019,8,16,10,3,1,6,10,16,-6,10,18,2,Aaron,Connolly,4
Aaron_Cresswell_376,0,0,0,0,0.0,376,85,0,0,0.0,0.0,2019-10-19T11:30:00Z,0,8,0,0,0,0,9,0,152619,0,2,0.0,0,-6395,16078,22473,50,False,0,19.0,12,3,3,3,11,13,-2,9,16,1,11,2019,15,8,13,3,4,3,9,8,1,10,19,1,Aaron,Cresswell,2
Aaron_Lennon_430,0,0,3,0,2.4,430,86,1,0,0.5,0.4,2019-10-19T14:00:00Z,25,9,0,0,0,0,9,0,6939,1,2,2.0,1,-291,118,409,48,False,0,5.0,12,3,3,3,12,11,1,9,14,0,8,2019,6,4,20,6,2,2,23,16,7,10,18,0,Aaron,Lennon,3
Aaron_Mooy_516,0,0,-7,0,1.5,516,81,2,0,0.0,0.0,2019-10-19T14:00:00Z,34,2,0,0,0,1,9,0,12741,1,2,0.0,-2,1264,2039,775,48,False,0,4.0,9,2,3,4,9,12,-3,9,11,2,16,2019,8,16,10,3,1,6,10,16,-6,10,18,2,Aaron,Mooy,3
Aaron_Ramsdale_494,0,0,21,1,0.0,494,82,0,0,0.8,7.8,2019-10-19T14:00:00Z,90,14,0,0,0,0,9,1,70443,0,0,0.0,6,10689,14721,4032,45,True,0,3.0,12,3,3,3,13,13,0,9,17,0,10,2019,18,20,5,0,5,5,5,21,-16,10,21,0,Aaron,Ramsdale,1
Aaron_Wan-Bissaka_122,0,0,12,0,12.7,122,87,1,0,2.7,12.4,2019-10-20T15:30:00Z,90,10,0,0,0,0,9,0,1224192,1,1,2.0,2,-190053,1413,191466,54,True,0,12.0,10,2,4,3,10,9,1,9,19,0,14,2019,14,19,7,2,1,7,11,24,-13,10,16,0,Aaron,Wan-Bissaka,2
Abdoulaye_Doucouré_368,0,2,33,0,11.7,368,89,1,1,8.2,50.0,2019-10-19T14:00:00Z,90,17,0,0,0,0,9,0,66202,1,1,20.0,9,-3742,406,4148,57,False,0,18.0,4,0,4,5,5,21,-16,9,16,0,20,2019,3,9,13,3,4,3,13,13,0,10,20,0,Abdoulaye,Doucouré,3
Adama_Traoré_417,0,0,15,0,3.7,417,90,1,0,1.9,14.4,2019-10-19T14:00:00Z,90,16,0,0,0,0,9,0,214506,1,1,1.0,2,169903,181393,11490,51,True,0,20.0,11,2,5,2,12,12,0,9,13,2,13,2019,13,17,9,2,3,5,6,15,-9,10,22,2,Adama,Traoré,3
Adam_Idah_538,0,0,0,0,0.0,538,82,0,0,0.0,0.0,2019-10-19T14:00:00Z,0,3,0,0,0,0,9,0,7029,0,0,0.0,0,142,1043,901,45,False,0,14.0,7,2,1,6,10,21,-11,9,14,0,19,2019,12,7,13,3,4,3,13,10,3,10,21,0,Adam,Idah,4
Adam_Lallana_195,0,1,22,0,1.3,195,87,0,1,7.0,33.6,2019-10-20T15:30:00Z,19,12,0,0,0,0,9,0,7503,1,1,35.0,7,-135,96,231,58,False,0,10.0,25,8,1,0,21,7,14,9,8,0,1,2019,17,11,12,3,3,4,16,15,1,10,17,1,Adam,Lallana,3
