code,draw,form,id,loss,name,played,points,position,pulse_id,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,11,17,5,1,ARS,4,1170,1170,1200,1150,1240,1180,,False,0,4,5,2,16,15,1,26,1
7,0,,2,0,Aston Villa,11,11,16,2,AVL,2,980,970,1040,1000,1050,1020,,False,0,3,2,6,16,18,-2,16,1
91,0,,3,0,Bournemouth,11,16,7,127,BOU,2,1030,990,1050,1000,1020,1020,,False,0,4,4,3,14,13,1,24,0
36,0,,4,0,Brighton,11,15,8,131,BHA,2,1100,1100,1030,1040,1010,1050,,False,0,4,3,4,14,14,0,13,2
90,0,,5,0,Burnley,11,12,14,43,BUR,3,1070,1130,1110,970,1180,1110,,False,0,3,3,5,14,18,-4,19,0
8,0,,6,0,Chelsea,11,23,4,4,CHE,4,1240,1240,1250,1220,1230,1220,,False,0,7,2,2,25,17,8,20,0
31,0,,7,0,Crystal Palace,11,15,9,6,CRY,3,1180,1080,1040,1040,1120,1130,,False,0,4,3,4,10,14,-4,22,0
11,0,,8,0,Everton,11,11,17,7,EVE,3,1210,1100,1180,1170,1240,1100,,False,0,3,2,6,11,17,-6,19,2
13,0,,9,0,Leicester,11,23,3,26,LEI,3,1080,1150,1100,1210,1160,1210,,False,0,7,2,2,27,8,19,13,0
14,0,,10,0,Liverpool,11,31,1,10,LIV,5,1320,1310,1330,1310,1350,1340,,False,0,10,1,0,25,9,16,13,0
43,0,,11,0,Man City,11,25,2,11,MCI,5,1270,1260,1320,1320,1340,1330,,False,0,8,1,2,34,10,24,22,1
1,0,,12,0,Man Utd,11,13,10,12,MUN,4,1330,1260,1260,1180,1300,1220,,False,0,3,4,4,13,11,2,24,0
4,0,,13,0,Newcastle,11,12,15,23,NEW,3,1040,1030,990,980,1100,1090,,False,0,3,3,5,9,17,-8,23,2
45,0,,14,0,Norwich,11,7,19,14,NOR,2,1040,1030,990,990,1020,980,,False,0,2,1,8,11,26,-15,17,0
49,0,,15,0,Sheffield Utd,11,16,6,18,SHU,3,1180,1170,1110,1050,1200,1180,,False,0,4,4,3,12,8,4,20,1
20,0,,16,0,Southampton,11,8,18,20,SOU,3,1050,1080,1080,1110,1040,1150,,False,0,2,2,7,10,27,-17,13,2
6,0,,17,0,Spurs,11,13,11,21,TOT,4,1130,1100,1140,1200,1240,1180,,False,0,3,4,4,17,16,1,19,2
57,0,,18,0,Watford,11,5,20,33,WAT,3,1120,1120,1150,1020,1140,1030,,False,0,0,5,6,6,23,-17,25,0
21,0,,19,0,West Ham,11,13,13,25,WHU,2,1030,1000,1150,1030,1030,1040,,False,0,3,4,4,14,17,-3,20,1
39,0,,20,0,Wolves,11,13,12,38,WOL,4,1230,1180,1200,1200,1190,1230,,False,0,2,7,2,14,14,0,17,2
