code,draw,form,id,loss,name,played,points,position,pulse_id,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,18,23,11,1,ARS,4,1170,1170,1200,1150,1240,1180,,False,0,5,8,5,24,27,-3,42,1
7,0,,2,0,Aston Villa,18,15,18,2,AVL,2,980,970,1040,1000,1050,1020,,False,0,4,3,11,24,33,-9,32,1
91,0,,3,0,Bournemouth,18,19,14,127,BOU,2,1030,990,1050,1000,1020,1020,,False,0,5,4,9,19,25,-6,35,1
36,0,,4,0,Brighton,18,20,13,131,BHA,2,1100,1100,1030,1040,1010,1050,,False,0,5,5,8,21,26,-5,26,2
90,0,,5,0,Burnley,18,24,10,43,BUR,3,1070,1130,1110,970,1180,1110,,False,0,7,3,8,23,29,-6,32,0
8,0,,6,0,Chelsea,18,32,4,4,CHE,4,1240,1240,1250,1220,1230,1220,,False,0,10,2,6,33,25,8,30,0
31,0,,7,0,Crystal Palace,18,23,12,6,CRY,3,1180,1080,1040,1040,1120,1130,,False,0,6,5,7,15,20,-5,30,1
11,0,,8,0,Everton,18,19,15,7,EVE,3,1210,1100,1180,1170,1240,1100,,False,0,5,4,9,20,29,-9,33,2
13,0,,9,0,Leicester,18,39,2,26,LEI,3,1080,1150,1100,1210,1160,1210,,False,0,12,3,3,41,14,27,21,0
14,0,,10,0,Liverpool,17,49,1,10,LIV,5,1320,1310,1330,1310,1350,1340,,False,0,16,1,0,42,14,28,18,1
43,0,,11,0,Man City,18,38,3,11,MCI,5,1270,1260,1320,1320,1340,1330,,False,0,12,2,4,50,20,30,37,1
1,0,,12,0,Man Utd,18,25,8,12,MUN,4,1330,1260,1260,1180,1300,1220,,False,0,6,7,5,26,22,4,36,0
4,0,,13,0,Newcastle,18,25,9,23,NEW,3,1040,1030,990,980,1100,1090,,False,0,7,4,7,18,24,-6,32,2
45,0,,14,0,Norwich,18,12,19,14,NOR,2,1040,1030,990,990,1020,980,,False,0,3,3,12,19,37,-18,33,0
49,0,,15,0,Sheffield Utd,18,28,5,18,SHU,3,1180,1170,1110,1050,1200,1180,,False,0,7,7,4,22,16,6,39,1
20,0,,16,0,Southampton,18,18,17,20,SOU,3,1050,1080,1080,1110,1040,1150,,False,0,5,3,10,21,37,-16,22,2
6,0,,17,0,Spurs,18,26,7,21,TOT,4,1130,1100,1140,1200,1240,1180,,False,0,7,5,6,32,26,6,33,3
57,0,,18,0,Watford,18,12,20,33,WAT,3,1120,1120,1150,1020,1140,1030,,False,0,2,6,10,11,32,-21,38,1
21,0,,19,0,West Ham,17,19,16,25,WHU,2,1030,1000,1150,1030,1030,1040,,False,0,5,4,8,19,28,-9,34,1
39,0,,20,0,Wolves,18,27,6,38,WOL,4,1230,1180,1200,1200,1190,1230,,False,0,6,9,3,26,22,4,32,2
