team_name,team_id,season,team_unique_id,round,position,team_id_against,team_unique_id_against,against_position,win,draw,loss,team_score,team_concede,total_wins,total_draws,total_losses,was_home,against_team_name
Arsenal,1,2019,1,6,4,2,27,18,1,0,0,3,2,3,2,1,True,Aston Villa
Aston Villa,2,2019,27,6,18,1,1,4,0,0,1,2,3,1,1,4,False,Arsenal
Burnley,5,2019,3,6,9,14,28,16,1,0,0,2,0,2,2,2,True,Norwich
Norwich,14,2019,28,6,16,5,3,9,0,0,1,0,2,2,0,4,False,Burnley
Chelsea,6,2019,4,6,11,10,9,1,0,0,1,1,2,2,2,2,True,Liverpool
Liverpool,10,2019,9,6,1,6,4,11,1,0,0,2,1,6,0,0,False,Chelsea
Crystal Palace,7,2019,5,6,12,20,26,19,0,1,0,1,1,2,2,2,True,Wolves
Wolves,20,2019,26,6,19,7,5,12,0,1,0,1,1,0,4,2,False,Crystal Palace
Everton,8,2019,6,6,14,15,29,10,0,0,1,0,2,2,1,3,True,Sheffield Utd
Sheffield Utd,15,2019,29,6,10,8,6,14,1,0,0,2,0,2,2,2,False,Everton
Leicester,9,2019,8,6,3,17,17,7,1,0,0,2,1,3,2,1,True,Spurs
Spurs,17,2019,17,6,7,9,8,3,0,0,1,1,2,2,2,2,False,Leicester
Man City,11,2019,10,6,2,18,18,20,1,0,0,8,0,4,1,1,True,Watford
Watford,18,2019,18,6,20,11,10,2,0,0,1,0,8,0,2,4,False,Man City
Newcastle,13,2019,23,6,17,4,21,15,0,1,0,0,0,1,2,3,True,Brighton
Brighton,4,2019,21,6,15,13,23,17,0,1,0,0,0,1,3,2,False,Newcastle
Southampton,16,2019,13,6,13,3,2,6,0,0,1,1,3,2,1,3,True,Bournemouth
Bournemouth,3,2019,2,6,6,16,13,13,1,0,0,3,1,3,1,2,False,Southampton
West Ham,19,2019,20,6,5,12,11,8,1,0,0,2,0,3,2,1,True,Man Utd
Man Utd,12,2019,11,6,8,19,20,5,0,0,1,0,2,2,2,2,False,West Ham
